# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae24707.r.ut190425.1115_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
34 1060426 259.92896997 -1.2561695166 17.082 r 17.0454 328 5.236 3227.764 366.306 0.083833449 0.05606721 -0.033217583 4.55 3.304 64.9 0.274
593 1112186 260.0871769 -1.2218574566 16.92 r 16.827 342 4.93 1918.764 650.292 0.053001966 0.095059827 -0.00040966488 4.344 3.243 0.3 0.253
910 246780 259.94131491 -1.1962485498 15.844 r 15.8242 831 5.991 3125.639 862.215 0.044466831 0.025821567 -0.0059133074 6.279 4.718 81.2 0.249
990 263850 260.0680095 -1.1935710881 16.554 r 16.6061 418 6.158 2077.354 884.39 0.082155429 0.034372859 0.01695996 5.512 3.458 -80.2 0.373
1188 432155 260.13031594 -1.1710962214 16.219 r 15.6821 1463 13.835 1561.819 1070.381 0.018324388 0.007976084 0.0056780507 11.746 7.245 -75.6 0.383
1498 1060436 260.17862613 -1.1660260857 17.177 r 17.1395 278 4.543 1162.09 1112.325 0.065940946 0.10211893 0.045229174 4.261 2.975 -25.7 0.302
1577 246781 259.9959874 -1.1451524958 16.106 r 16.2008 710 8.293 2673.279 1285.095 0.023833649 0.036911801 0.013056525 6.879 5.024 -22.5 0.27
1739 132495 260.16986825 -1.14918333 16.013 r 16.1237 466 4.239 1234.549 1251.718 0.049888976 0.10017776 -0.073501535 5.726 2.892 27.8 0.495
1826 432157 260.01764941 -1.142234089 16.409 r 16.2468 521 5.916 2494.043 1309.25 0.049521498 0.049721517 0.0039465465 4.581 4.402 -43.5 0.039
2000 429775 259.99021258 -1.13035957 16.446 r 16.7797 479 7.335 2721.063 1407.519 0.041829348 0.045476619 0.034267254 6.152 4.053 -42.0 0.341
2037 246794 260.19048206 -1.1308236521 16.907 r 17.0849 277 4.566 1063.978 1403.653 0.072038077 0.10645997 0.05823512 4.248 2.85 -29.7 0.329
