# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae24968.i.ut190429.5090_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
195 254707 254.16781597 -1.7432529131 15.644 i 15.0731 1677 13.831 1765.348 447.241 0.021731036 0.033916008 -0.047168031 16.988 4.378 37.8 0.742
762 25606 254.19551232 -1.7015609724 14.844 i 14.193 2840 10.203 1536.227 792.274 0.010747026 0.01107494 0.00074418297 9.757 9.4 -33.1 0.037
845 254708 254.2715091 -1.7033379236 17.004 i 16.2682 612 8.15 907.56 777.527 0.059668195 0.028193733 -0.039632484 7.327 3.8 64.2 0.481
2439 122597 254.0890313 -1.5852177582 15.212 i 14.3693 4687 24.525 2417.074 1755.134 0.0027864182 0.004921108 -0.0014926067 19.798 13.926 17.5 0.297
3071 1083856 254.25541177 -1.5540827557 18.036 i 16.5653 542 9.622 1040.638 2012.762 0.053183027 0.018966692 -0.020948762 7.902 4.221 74.3 0.466
4566 1112864 253.90516708 -1.4557444702 17.446 i 16.5226 514 9.269 3938.236 2826.562 0.039076857 0.12104976 0.11375014 10.021 2.581 -27.1 0.742
4922 254705 254.19589116 -1.432237866 16.823 i 16.3073 422 4.139 1533.003 3021.162 0.066825792 0.084678374 0.06568642 4.896 3.018 -37.4 0.384
5408 254706 254.21550923 -1.4001700907 16.652 i 16.2292 396 4.186 1370.684 3286.545 0.056490675 0.090140216 0.033885911 4.497 3.208 -22.6 0.287
5673 429187 254.29777935 -1.3809955935 16.767 i 15.9927 579 4.967 690.01 3445.19 0.0395956 0.066901535 -0.034461722 5.656 3.646 25.8 0.355
5921 430839 254.07922156 -1.3214709911 17.052 i 16.45 579 8.003 2498.258 3937.872 0.03053656 0.041809414 -0.016985504 6.204 4.644 28.2 0.251
