# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae0297.i.ut190429.5136_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
110 1142339 241.02954163 23.605125743 19.343 i 17.1009 134
160 77781 241.15021088 23.625117775 15.977 i 15.0782 728
177 70922 241.18999795 23.628622415 16.771 i 15.8151 361
218 78303 241.2498458 23.658316052 15.455 i 14.6401 1030
248 62388 241.15268183 23.663192551 15.751 i 14.4161 1027
269 82939 241.26036413 23.669039412 15.2 i 14.5746 1197
412 690279 241.37960587 23.701828637 19.23 i 16.8566 122
578 70947 241.2346575 23.757846186 16.884 i 15.5222 381
812 62386 241.13937365 23.837715314 15.837 i 14.8931 733
871 397400 241.30092251 23.852612627 18.7 i 17.5266 84
897 62402 241.27675523 23.865026107 16.468 i 15.1422 460
927 66171 241.24701584 23.869823291 16.997 i 15.9476 289
941 499829 240.9470502 23.874624348 17.926 i 16.4691 178
953 335757 241.25287508 23.879143157 18.52 i 17.0059 117
1040 2991 241.23600531 23.932841651 13.737 i 12.5249 5955
1056 39701 241.26769262 23.917172246 15.746 i 14.3693 1012
1075 335775 241.35728304 23.920396788 18.89 i 17.4294 102
1126 499880 240.94214622 23.935849481 17.228 i 15.7118 302
1129 66170 241.21472653 23.937401929 16.718 i 15.5187 370
1158 66169 241.13518846 23.944563525 17.84 i 16.3025 209
1209 958648 241.23059094 23.965491335 16.386 i 15.1121 500
1217 62399 241.2480781 23.969989861 15.475 i 14.2978 1151
1236 1229364 240.98949509 23.999187609 18.75 i 17.3678 91
1237 499973 241.32533027 24.031764469 17.78 i 16.4299 202
1352 62398 241.21070131 23.974975505 15.954 i 14.4756 782
1383 335785 241.37873326 23.970513104 18.67 i 17.1031 112
1400 335788 240.94192878 23.976638469 18.62 i 17.2224 106
1410 54708 241.23173981 23.969677252 17.005 i 15.7477 285
1492 377828 241.26782189 24.044627461 17.92 i 16.1388 246
