# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae16453.r.ut190428.4152_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
221 333651 247.50438858 15.156917206 17.63 r 16.5514 627
276 69229 247.17368002 15.166655485 17.192 r 16.1948 474
798 476133 247.20008317 15.249365181 18.052 r 16.8851 352
805 362665 247.17731525 15.247353771 18.71 r 17.5307 170
911 333695 247.38317043 15.271502988 18.58 r 17.395 386
938 69254 247.43218397 15.276986424 16.493 r 15.5949 1191
1071 493126 247.38323781 15.299723555 16.32 r 15.6341 1165
1628 493223 247.25726028 15.389944845 17.353 r 16.2192 499
1787 361372 247.3505738 15.410062362 18.59 r 17.8303 183
2554 361373 247.35607601 15.53364502 18.48 r 17.6328 273
2593 69307 247.24737261 15.541342444 17.171 r 16.073 529
2860 1430568 247.54149965 15.57463303 18.82 r 17.822 188
2911 333795 247.34698611 15.573411773 18.24 r 17.1728 306
2947 333806 247.18562703 15.598463559 18.64 r 17.4525 259
2993 493410 247.53266189 15.605321352 16.468 r 16.3914 649
