# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae1198.i.ut190429.5133_stch_1.sw.dcmp, DB ID=14715, Field
#       Name=s005aae1198, RA (deg)=236.7739, Dec (deg)=25.8052, MJD=58603.2902, Exp
#       Time (sec)=180.0, Lim Mag=22.0014, Instrument=SWOPE, E(B-V)=0.109290099263,
#     Filter=SDSS i, A_lambda=0.185574588548574, Net 2D Prob=9.49533887678e-05, Redistributed
#       2D Prob=1.5061009698542388e-05, Net 4D Prob=0.00025603303106901636, Weighted
#       Mean Pixel Comp=0.8422551375088834, Weighted Mean Pixel Dist=186.10601467816616]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
71431 236.755814 26.040243 None None 1760279 15470139+2602248 None 4.69459239923e-06 0.0330445665223 138.718902182 3.32925365238 16.87 13.999
501551 236.677612 26.013851 None None 1759200 15464262+2600498 None 0.0 0.18935 882.531018185 21.1807444364 18.078 13.485
1412350 236.698 25.9775 None None SDSSJ154647.56+255838.7 None None 0.0 0.18756012378 873.249695577 20.9579926939 19.46 nan
1421014 236.741 25.88874 None None SDSSJ154657.93+255319.1 None None 3.49965219627e-15 0.0889864944932 388.840217617 9.33216522281 18.73 nan
2423989 236.702 26.0125 None None SDSSJ154648.46+260044.6 None None 0.0 0.179218919609 830.217281917 19.925214766 19.08 nan
2423998 236.723 26.02177 None None SDSSJ154653.49+260118.1 None None 0.0 0.114221157111 507.700941621 12.1848225989 19.2 nan
2424006 236.749 26.02593 None None SDSSJ154659.76+260133.3 None None 2.18501862981e-15 0.0893731046866 390.63351931 9.37520446343 18.84 nan
2424020 236.795 25.91901 None None SDSSJ154710.73+255508.3 None None 0.0 0.114221157111 507.700941621 12.1848225989 18.27 nan
2424031 236.827 25.85914 None None SDSSJ154718.55+255132.7 None None 0.0 0.119201729601 531.589905746 12.7581577379 18.81 nan
2424040 236.852 25.93456 None None SDSSJ154724.57+255604.5 None None 0.0 0.131996825998 593.599249797 14.2463819951 19.02 nan
501371 236.665359 25.791903 None None 1750019 15463968+2547308 None 7.40534602676e-16 0.091612 401.035796671 9.6248591201 17.623 13.739
27460 236.975159 25.729359 None None None 15475403+2543456 None 9.99276475279e-05 0.037042 155.96277518 3.74310660433 14.846 11.462
297966 236.975 25.72953 None None 56058 None None 0.000136349762777 0.0422736511368 178.679452248 4.28830685395 15.82 nan
2424025 236.807 25.77876 None None SDSSJ154713.77+254643.2 None None 0.0 0.132557106279 596.335420419 14.31205009 18.15 nan
2424061 236.936 25.67763 None None SDSSJ154744.58+254039.2 None None 1.86599187645e-11 0.0784455392228 340.282462595 8.16677910227 18.68 nan
2423997 236.722 25.61123 None None SDSSJ154653.24+253640.4 None None 0.0 0.18145920073 841.739152985 20.2017396716 18.65 nan
2424052 236.887 25.63949 None None SDSSJ154732.77+253822.1 None None 0.0 0.140634130317 635.973115914 15.2633547819 18.71 nan
