# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae13442.i.ut190429.5138_stch_1.sw.dcmp, DB ID=14718, Field
#       Name=s005aae13442, RA (deg)=241.7359, Dec (deg)=22.3323, MJD=58603.30669, Exp
#       Time (sec)=180.0, Lim Mag=21.7705, Instrument=SWOPE, E(B-V)=0.130907541007,
#     Filter=SDSS i, A_lambda=0.22228100462988598, Net 2D Prob=0.0001990618563225, Redistributed
#       2D Prob=1.570224601182245e-05, Net 4D Prob=0.0005495199307515755, Weighted Mean
#       Pixel Comp=0.933483727043067, Weighted Mean Pixel Dist=185.67115444205825]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
62419 241.494278 22.63221 None None 57116 16055862+2237559 None 9.15236043614e-05 0.037873 159.559867576 3.82943682183 15.712 12.725
168820 241.500046 22.641184 None None 1673567 16060001+2238282 None 3.84703194177e-05 0.035942 151.207826836 3.62898784407 16.031 11.982
271385 241.428 22.45659 91500 PGC091500 PGC091500 None None 7.38175845294e-09 0.0185463692732 77.0103776302 1.84824906313 15.7 nan
335485 241.385 22.52552 None None 1671574 None None 2.21294969135e-05 0.0424628612314 179.504181749 4.30810036198 18.42 nan
1128047 241.534973 22.476191 None None 1670607 16060839+2228342 None 0.0 0.188336074168 877.271305575 21.0545113338 18.5 14.236
70742 241.851974 22.576563 None None 1672503 16072447+2234356 None 6.87640585817e-05 0.048781 207.169388705 4.97206532892 16.955 13.404
498765 241.63356 22.256176 None None 1666500 16063205+2215222 None 0.0 0.218936 1038.33308079 24.9199939391 18.674 13.803
53156 241.403397 22.186346 None None 57085 16053681+2211108 None 0.000312922823707 0.044072 186.526961522 4.47664707653 15.594 12.129
692921 241.474792 22.175262 None None SDSSJ160553.69+221031.0 16055395+2210309 None 0.0 0.245583572792 1182.42469047 28.3781925713 20.43 14.023
1228043 241.549 22.05547 None None 1662660 None None 3.10998712769e-20 0.0970246685123 426.304082535 10.2312979808 18.29 nan
