# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae14544.i.ut190603.4103_stch_1.sw.dcmp, DB ID=14725, Field
#       Name=s005aae14544, RA (deg)=241.7, Dec (deg)=19.8425, MJD=58638.26845, Exp Time
#       (sec)=360.0, Lim Mag=21.8858, Instrument=SWOPE, E(B-V)=0.0756425818428, Filter=SDSS
#       i, A_lambda=0.1284411039690744, Net 2D Prob=6.0252868963240006e-05, Redistributed
#       2D Prob=2.2951892426215424e-06, Net 4D Prob=0.0005096901870952061, Weighted
#       Mean Pixel Comp=0.9583088181192251, Weighted Mean Pixel Dist=180.76915521778145]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
16740 241.371536 19.942158 None None 57072 16052916+1956317 None 8.47355970125e-06 0.029738 124.529963961 2.98871913507 14.531 11.063
58520 241.384552 19.934668 None None 1610658 16053229+1956048 None 7.71844854687e-05 0.042925 181.519475648 4.35646741555 16.067 13.21
268006 241.454285 19.938591 None None 1610808 16054902+1956189 None 1.56982144666e-06 0.0350303275152 147.272615588 3.5345427741 18.37 14.411
334930 241.609 20.01177 None None 1613363 None None 2.3776264902e-06 0.0351878275939 147.95209404 3.55085025697 17.97 nan
624940 241.514496 20.048689 None None 1614585 16060347+2002552 None 0.0 0.172650326325 796.587039648 19.1180889515 18.13 14.26
70146 241.808273 19.858232 None None 1607973 16071398+1951296 None 3.19510548104e-05 0.046671 197.9032399 4.74967775761 16.591 13.611
247154 241.85701 19.895452 None None None 16072568+1953436 None 5.50159432795e-06 0.05628 240.320395885 5.76768950125 16.1 13.385
301954 241.857 19.89504 None None 1609284 None None 2.63556895684e-05 0.0398886799443 168.30266033 4.03926384791 16.65 nan
1226433 241.798 19.93776 None None 1610773 None None 5.80537831715e-15 0.0852081726041 371.360261586 8.91264627806 18.12 nan
24207 241.595139 19.777851 None None None 16062283+1946402 None 3.27819429414e-08 0.022916 95.4706440036 2.29129545609 16.892 11.354
70125 241.619339 19.753399 None None 1604252 16062864+1945122 None 1.03558640983e-05 0.036378 153.091622821 3.6741989477 16.727 13.189
135004 241.578903 19.763132 None None NGC6062B 16061893+1945472 None 4.97281534327e-05 0.038098 160.53454121 3.85282898903 15.513 13.264
379585 241.595 19.77795 None None NGC6062 None None 0.000216417746108 0.0395333597667 166.759683741 4.00223240979 14.28 nan
451806 241.641907 19.856176 None None 1607890 16063405+1951222 None 4.37801565804e-10 0.073862 319.371846077 7.66492430585 16.392 13.168
496772 241.550278 19.793968 None None 1605749 16061206+1947382 None 0.0 0.146065993033 662.831640173 15.9079593642 17.84 13.953
1127776 241.636002 19.872009 None None 1608437 16063264+1952192 None 0.0 0.118694579347 529.150993816 12.6996238516 18.32 14.174
305440 241.52 19.7608 None None 1604527 None None 2.30932093556e-06 0.0356643178322 150.00867544 3.60020821056 17.68 nan
126068 241.706863 19.626741 None None 1599547 16064964+1937362 None 7.50999952973e-05 0.044807 189.740000155 4.55376000373 15.908 12.702
134850 241.857224 19.549618 None None UGC10215 16072573+1932586 None 3.6866416852e-08 0.020129 83.6826467656 2.00838352237 14.961 12.87
496615 241.98793 19.644037 None None 1600193 16075710+1938385 None 0.0 0.111957 496.887473983 11.9252993756 16.938 13.865
