# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae14697.i.ut190603.4104_stch_1.sw.dcmp, DB ID=14728, Field
#       Name=s005aae14697, RA (deg)=243.7972, Dec (deg)=19.345, MJD=58638.27479, Exp
#       Time (sec)=360.0, Lim Mag=22.2634, Instrument=SWOPE, E(B-V)=0.088437864773,
#     Filter=SDSS i, A_lambda=0.150167494384554, Net 2D Prob=0.0001205442266416, Redistributed
#       2D Prob=8.134109039587085e-07, Net 4D Prob=7.123451251821529e-05, Weighted Mean
#       Pixel Comp=0.9954286250656491, Weighted Mean Pixel Dist=184.28853695412403]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
8416 243.898087 19.453444 None None None 16153554+1927123 None 1.57293133056e-07 0.02247 93.5809568039 2.24594296329 14.455 10.52
54006 243.915771 19.481495 None None 1593888 16153978+1928533 None 1.77751233641e-06 0.0310287755144 130.060795005 3.12145908011 16.95 13.464
126049 243.913696 19.443995 None None 1592462 16153928+1926383 None 4.2361140207e-07 0.0300667650334 125.937704377 3.02250490506 18.03 14.498
334799 243.812 19.53431 None None 1595963 None None 6.64293719501e-07 0.0314502457251 131.868987095 3.16485569028 18.22 nan
454814 243.768066 19.398043 None None 1590863 16150433+1923529 None 4.37274953323e-15 0.0844710722355 367.959878171 8.8310370761 17.78 14.64
624127 243.853317 19.578451 None None 1597688 16152479+1934424 None 0.0 0.153612766806 700.414896874 16.809957525 18.43 14.441
1144613 243.832 19.46495 None None 1593260 None None 4.13765810569e-15 0.0844710722355 367.959878171 8.8310370761 17.84 nan
1225853 243.935 19.49879 None None 1594597 None None 0.0 0.12598074299 564.329290175 13.5439029642 18.52 nan
1416771 243.873 19.43154 None None SDSSJ161529.55+192553.5 None None 0.0 0.151692735846 690.823702881 16.5797688691 19.23 nan
53969 243.546768 19.314888 None None 1588019 16141122+1918535 None 6.54816336673e-05 0.036753 154.712798002 3.71310715205 15.382 12.798
334737 243.628 19.33269 None None 1588633 None None 2.97759673318e-07 0.0303385051693 127.101776202 3.05044262886 18.55 nan
454695 243.718643 19.27775 None None 1586620 16145247+1916399 None 1.63084622355e-07 0.064514 277.111572893 6.65067774943 16.64 13.355
623648 243.747177 19.325537 None None 1588359 16145932+1919319 None 0.0 0.106375 470.352695851 11.2884647004 17.579 13.771
1225664 243.693 19.35321 None None 1589362 None None 7.95457701991e-15 0.08374006187 364.590730489 8.75017753175 17.98 nan
1225704 243.707 19.38666 None None 1590477 None None 0.0 0.144233952117 653.754822923 15.6901157501 18.84 nan
1225733 243.666 19.40565 None None 1591140 None None 0.0 0.160847060424 736.731545728 17.6815570975 18.5 nan
1412278 243.584 19.31918 None None SDSSJ161420.25+191909.0 None None 0.0 0.201985240993 948.52192275 22.764526146 19.83 nan
334695 243.969 19.17429 None None 1583068 None None 6.38341674784e-07 0.0315922057961 132.478272344 3.17947853625 18.37 nan
334732 244.01 19.30198 None None 1587576 None None 3.27671282423e-07 0.0308895454448 129.463712031 3.10712908873 18.76 nan
334770 243.95 19.43439 None None 1592126 None None 4.83570481395e-07 0.0300667650334 125.937704377 3.02250490506 17.93 nan
454775 243.985504 19.366411 None None 1589777 16155652+1921590 None 0.0 0.124914782457 559.16414399 13.4199394558 18.15 14.073
