# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae14702.r.ut190603.4106_stch_1.sw.dcmp, DB ID=14734, Field
#       Name=s005aae14702, RA (deg)=246.4193, Dec (deg)=19.3459, MJD=58638.28653, Exp
#       Time (sec)=360.0, Lim Mag=22.86, Instrument=SWOPE, E(B-V)=0.201021655686, Filter=SDSS
#       r, A_lambda=0.45933448324251, Net 2D Prob=0.0001776992299085, Redistributed
#       2D Prob=6.114053949121425e-06, Net 4D Prob=0.00036303458932491903, Weighted
#       Mean Pixel Comp=0.9680470999287619, Weighted Mean Pixel Dist=185.03909248643663]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
8602 246.114319 19.482584 None None IC1219 16242743+1928573 None 3.61345264333e-06 0.026574 111.016370114 2.66439288273 14.281 10.548
53992 246.213608 19.426491 None None 1591872 16245126+1925353 None 0.00014228574033 0.045049 190.798621257 4.57916691017 16.392 12.883
307541 246.154 19.50683 None None 58045 None None 8.00638097069e-05 0.0364728182364 153.50145284 3.68403486815 15.3 nan
361307 246.108 19.46187 None None SDSSJ162425.85+192742.5 None None 1.91955740603e-06 0.0347174273587 145.923172933 3.50215615039 18.74 nan
467092 246.374268 19.498545 None None 1594576 16252982+1929547 None 4.27743656204e-11 0.077522 336.059193764 8.06542065033 17.154 13.228
1225913 246.231 19.54552 None None 1596394 None None 0.0 0.139452669726 630.152674042 15.123664177 18.63 nan
1409379 246.177 19.40642 None None SDSSJ162442.58+192423.2 None None 1.60929662442e-12 0.0805241202621 349.806021978 8.39534452748 17.94 nan
1409388 246.234 19.48634 None None SDSSJ162456.07+192910.7 None None 0.0 0.139452669726 630.152674042 15.123664177 19.02 nan
56049 246.555313 19.56081 None None 58118 16261327+1933389 None 0.000109820352895 0.03879 163.53415694 3.92481976655 15.66 12.159
334786 246.595 19.47658 None None 1593731 None None 1.54024255921e-05 0.0415254207627 175.420213328 4.21008511986 18.48 nan
454820 246.456161 19.402157 None None 1591017 16254947+1924077 None 7.51611691541e-09 0.071288 307.683491348 7.38440379234 16.561 12.647
334682 246.132 19.13258 None None 1581624 None None 3.80763630186e-06 0.0358247579124 150.701466884 3.61683520522 18.41 nan
623352 246.196503 19.17816 None None 1583198 16244716+1910413 None 0.0 0.133631 601.584727161 14.4380334519 17.922 13.89
1225360 246.214 19.11685 None None 1581076 None None 0.0 0.162195681098 743.532864221 17.8447887413 18.75 nan
1127643 246.5952 19.079966 None None 1579869 16262284+1904478 None 0.0 0.143024771512 647.774019205 15.5465764609 18.27 14.195
1409469 246.596 19.09936 None None SDSSJ162622.93+190557.6 None None 0.0 0.163555011778 750.398063363 18.0095535207 18.97 nan
