# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae2371.i.ut190603.4086_stch_1.sw.dcmp, DB ID=14790, Field
#       Name=s005aae2371, RA (deg)=232.1255, Dec (deg)=28.2876, MJD=58638.166, Exp Time
#       (sec)=360.0, Lim Mag=22.4127, Instrument=SWOPE, E(B-V)=0.0482602079026, Filter=SDSS
#       i, A_lambda=0.0819458330186148, Net 2D Prob=0.0001262529599215, Redistributed
#       2D Prob=7.405281380937982e-05, Net 4D Prob=0.0005447709848863126, Weighted Mean
#       Pixel Comp=0.4270087454989843, Weighted Mean Pixel Dist=182.0550403468256]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
403044 232.115 28.46171 None None SDSSJ152827.53+282742.0 None None 1.17591979566e-05 0.0456023628012 193.22063329 4.63729519897 18.3 nan
489772 231.885513 28.437136 None None 1835715 15273252+2826136 None 9.33035471919e-10 0.071339 307.914697031 7.38995272874 17.37 13.119
489824 232.017441 28.502399 None None 1837664 15280418+2830086 None 1.49610657944e-11 0.076321 330.574646475 7.9337915154 17.755 13.882
489847 232.112915 28.522394 None None 1838247 15282709+2831206 None 0.0 0.108713 481.445086238 11.5546820697 17.398 13.47
1150568 232.06 28.47563 None None 1836870 None None 2.33762706901e-08 0.0649803324902 279.207413251 6.70097791803 18.17 nan
1234076 232.083 28.36224 None None 1833658 None None 5.76596089e-09 0.0673052436526 289.675664539 6.95221594893 18.24 nan
2422051 232.067 28.37263 None None SDSSJ152815.99+282221.3 None None 1.38069566649e-08 0.0658430129215 283.08798994 6.79411175857 18.22 nan
53128 232.365646 28.30929 None None 55230 15292775+2818334 None 0.000285140632606 0.044657 189.084009737 4.5380162337 15.175 12.352
68642 232.422699 28.522415 None None 1838248 15294144+2831206 None 0.000154783394136 0.043828 185.461050575 4.4510652138 15.925 13.591
635423 232.336624 28.336802 None None 1832956 15292078+2820124 None 1.06588375392e-08 0.068751 296.201658432 7.10883980236 16.792 13.454
62161 231.883011 28.395191 None None 55141 15273192+2823426 None 1.28317612117e-05 0.055382 236.332638802 5.67198333126 15.854 11.968
82845 231.931671 28.234373 None None 55148 15274360+2814037 None 2.52046125718e-06 0.027259 113.936753901 2.73448209363 14.863 11.982
489666 231.790939 28.330656 None None 1832759 15270982+2819503 None 9.19844752058e-13 0.08028 348.686203854 8.3684688925 17.06 13.337
489699 231.771378 28.362879 None None 1833666 15270513+2821463 None 1.19230787965e-15 0.086924 379.288003146 9.1029120755 17.109 13.597
635367 231.825012 28.298708 None None 1831859 15271800+2817553 None 0.0 0.14729932365 668.952484606 16.0548596305 18.18 14.058
635377 231.748032 28.304817 None None 1832021 15265952+2818173 None 1.52791066297e-08 0.0658430129215 283.08798994 6.79411175857 18.11 14.552
1233916 231.8 28.17914 None None 1828511 None None 5.78170267827e-11 0.0737929868965 319.057949924 7.65739079818 18.45 nan
1234100 231.827 28.39063 None None 1834409 None None 2.25861822454e-09 0.0684974142487 295.056097847 7.08134634833 18.46 nan
2422033 231.998 28.28957 None None SDSSJ152759.57+281722.3 None None 2.81044588647e-08 0.0649803324902 279.207413251 6.70097791803 17.97 nan
409365 232.096985 28.229622 None None 1829877 15282327+2813466 None 2.69862018836e-06 0.059644 255.302182255 6.12725237413 15.819 12.692
460161 232.148224 28.317341 None None 1832375 15283557+2819024 None 6.41280257715e-11 0.0741165970583 320.530088074 7.69272211377 18.07 13.911
471120 232.134018 28.304838 None None 1832027 15283216+2818174 None 1.26804624483e-09 0.071022 306.477845476 7.35546829143 17.276 13.517
472186 232.15831 28.333176 None None 1832847 15283799+2819594 None 1.14693619317e-10 0.074841 323.827723892 7.77186537341 16.83 12.519
489582 232.081543 28.249903 None None 1830456 15281957+2814596 None 1.45645711375e-10 0.0731503865752 316.13652959 7.58727671015 17.97 14.381
635237 232.129745 28.197664 None None 1829030 15283113+2811515 None 2.33360271301e-08 0.0646953623477 277.92651598 6.67023638351 18.34 14.328
635358 232.23497 28.289553 None None 1831597 15285639+2817223 None 7.57546428901e-08 0.065229 280.325532539 6.72781278094 16.745 12.809
1150545 232.117 28.29113 None None 1831643 None None 7.15470992223e-11 0.0744412572206 322.007625903 7.72818302166 17.68 nan
1234022 232.206 28.30285 None None 1831966 None None 2.52340959768e-10 0.0721963560982 311.803785557 7.48329085336 18.13 nan
1234091 232.261 28.38064 None None 1834141 None None 4.56090841913e-17 0.0886017743009 387.056547038 9.28935712891 18.66 nan
2422059 232.095 28.26164 None None SDSSJ152822.89+281541.8 None None 1.84840646967e-08 0.0655542627771 281.78861613 6.76292678711 18.08 nan
2422065 232.116 28.35095 None None SDSSJ152827.76+282103.6 None None 2.07963802924e-10 0.0721963560982 311.803785557 7.48329085336 18.34 nan
2422088 232.169 28.3786 None None SDSSJ152840.62+282242.9 None None 0.0 0.0970246685123 426.304082535 10.2312979808 18.53 nan
2422095 232.193 28.22813 None None SDSSJ152846.29+281341.2 None None 1.88206000988e-10 0.0725128262564 313.240441294 7.51777059105 18.2 nan
2422096 232.194 28.27484 None None SDSSJ152846.65+281629.5 None None 2.13075049668e-10 0.0715667757834 308.947494518 7.41473986843 18.8 nan
414185 232.090958 28.128235 None None 93839 15282182+2807416 None 7.12178309398e-07 0.061847 265.150282844 6.36360678826 16.195 12.414
453907 231.997971 28.248781 None None 1830434 15275951+2814556 None 1.34664313282e-15 0.0863253731627 376.520177207 9.03648425296 17.67 14.192
1136152 231.93074 28.115484 None None SDSSJ152743.39+280655.9 15274337+2806557 None 9.81404104637e-11 0.0741165970583 320.530088074 7.69272211377 17.608 14.223
1150541 232.021 28.25194 None None 1830529 None None 3.98818437449e-08 0.0649803324902 279.207413251 6.70097791803 17.59 nan
1233903 232.033 28.17057 None None 1828273 None None 1.04767204941e-08 0.0661330230665 284.393535178 6.82544484426 18.34 nan
2421986 231.91 28.16255 None None SDSSJ152738.28+280944.9 None None 0.0 0.14791966396 672.034282177 16.1288227723 18.75 nan
2422014 231.959 28.20746 None None SDSSJ152750.19+281226.6 None None 9.76556493681e-11 0.0728309764155 314.685322413 7.55244773792 18.66 nan
489492 232.306946 28.169863 None None 1828248 15291366+2810115 None 7.65648080968e-10 0.072716 314.163086969 7.53991408725 16.653 13.406
535317 232.408234 27.999075 None None 93840 15293797+2759566 None 3.2418237052e-15 0.086553 377.572391701 9.06173740082 16.831 13.122
635061 232.400314 28.067125 None None 1825389 15293607+2804016 None 0.0 0.14791966396 672.034282177 16.1288227723 18.37 14.185
1233753 232.39 28.00695 None None 1823726 None None 1.44969253336e-10 0.0728309764155 314.685322413 7.55244773792 18.37 nan
2422163 232.369 28.19944 None None SDSSJ152928.66+281158.2 None None 1.03104092036e-10 0.0728309764155 314.685322413 7.55244773792 18.74 nan
