# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae27067.i.ut190603.4073_stch_1.sw.dcmp, DB ID=14813, Field
#       Name=s005aae27067, RA (deg)=254.646, Dec (deg)=-5.5004, MJD=58638.09235, Exp
#       Time (sec)=360.0, Lim Mag=22.1284, Instrument=SWOPE, E(B-V)=0.714580289841,
#     Filter=SDSS i, A_lambda=1.213357332150018, Net 2D Prob=9.507794452239999e-05,
#     Redistributed 2D Prob=5.080348484110916e-05, Net 4D Prob=0.00010546480476724433,
#     Weighted Mean Pixel Comp=0.4658709209831566, Weighted Mean Pixel Dist=154.71095827396067]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
240315 254.666275 -5.399112 None None None 16583990-0523568 None 6.6562842838e-06 0.044521 188.489363976 4.52374473542 17.291 13.848
240316 254.715637 -5.300772 None None None 16585175-0518027 None 2.68680583339e-05 0.04031 170.133246353 4.08319791247 16.977 13.599
240317 254.785614 -5.340597 None None None 16590854-0520261 None 7.84036324642e-07 0.025912 108.19682129 2.59672371096 17.006 13.488
429215 254.783112 -5.371986 None None None 16590794-0522191 None 9.72633594419e-08 0.053147 226.428820562 5.43429169348 17.388 13.934
1039375 254.620346 -5.383989 None None None 16582888-0523023 None 0.0 0.130944 588.462409684 14.1230978324 17.409 13.639
1039416 254.732941 -5.299657 None None None 16585590-0517587 None 1.2067958751e-11 0.064923 278.949673433 6.69479216238 16.317 12.566
1039417 254.682465 -5.472166 None None None 16584379-0528197 None 0.0 0.100358 441.949496647 10.6067879195 17.66 13.879
1039418 254.694733 -5.430498 None None None 16584673-0525497 None 0.0 0.138401 624.978106764 14.9994745623 18.015 13.872
1039422 254.651764 -5.409113 None None None 16583642-0524328 None 0.0 0.088122 384.833387564 9.23600130154 17.258 14.055
240300 254.519638 -5.459847 None None None 16580471-0527354 None 2.85255420465e-06 0.048309 205.094227122 4.92226145093 16.522 13.202
429211 254.578293 -5.610667 None None None 16581879-0536384 None 6.60721290974e-08 0.054899 234.189791238 5.62055498972 16.467 12.503
1039364 254.392776 -5.560752 None None None 16573426-0533387 None 0.0 0.097067 426.502369088 10.2360568581 16.875 13.003
1039372 254.527191 -5.484289 None None None 16580652-0529034 None 0.0 0.098195 431.789886493 10.3629572758 17.132 13.448
1039419 254.659302 -5.507168 None None None 16583823-0530258 None 0.0 0.082108 357.080035745 8.56992085788 17.653 13.921
1039463 254.913834 -5.470422 None None None 16593932-0528135 None 0.0 0.084719 369.103260969 8.85847826327 17.177 13.847
5929 254.780334 -5.741986 None None None 16590728-0544311 None 1.09180109471e-05 0.02592 108.230878079 2.59754107389 14.124 10.387
325798 254.78 -5.74191 None None 1040967 None None 6.41902809502e-06 0.0287427143714 120.272339302 2.88653614324 16.23 nan
1039371 254.61853 -5.745378 None None None 16582844-0544433 None 0.0 0.099158 436.309769431 10.4714344663 18.446 13.524
1039423 254.655411 -5.635502 None None None 16583729-0538078 None 9.74421658944e-20 0.079129 343.411109051 8.24186661723 16.195 12.731
1039424 254.733017 -5.72438 None None None 16585592-0543277 None 4.93331167722e-18 0.076307 330.510763584 7.93225832602 16.448 13.26
1039425 254.670471 -5.589667 None None None 16584091-0535228 None 0.0 0.172264 794.616204452 19.0707889069 18.162 13.344
1039426 254.63475 -5.719669 None None None 16583234-0543108 None 0.0 0.129308 580.492432969 13.9318183913 17.57 13.896
1039427 254.833649 -5.664481 None None None 16592007-0539521 None 1.40127593673e-17 0.075062 324.834380955 7.79602514293 17.281 13.273
1039428 254.813828 -5.693372 None None None 16591531-0541361 None 1.80506068271e-13 0.067971 292.679271799 7.02430252319 17.068 13.521
