# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae31407.i.ut190428.4033_stch_1.sw.dcmp, DB ID=14831, Field
#       Name=s005aae31407, RA (deg)=68.1777, Dec (deg)=-13.4509, MJD=58601.95966, Exp
#       Time (sec)=180.0, Lim Mag=20.0921, Instrument=SWOPE, E(B-V)=0.27358830902, Filter=SDSS
#       i, A_lambda=0.4645529487159599, Net 2D Prob=8.410395437299999e-07, Redistributed
#       2D Prob=5.727228370982655e-08, Net 4D Prob=2.302590488936522e-05, Weighted Mean
#       Pixel Comp=0.9319029834723053, Weighted Mean Pixel Dist=157.54809355299997]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
43041 68.084991 -13.236346 75201 PGC075201 PGC075201 04322039-1314108 None 3.12774515084e-09 0.0178812989406 74.2111794368 1.78106830648 15.71 14.942
80577 68.113235 -13.266162 None None 15466 04322717-1315581 None 5.34731150741e-07 0.033372 140.127650885 3.36306362123 15.637 11.83
84603 67.991386 -13.270786 None None 75196 04315793-1316148 None 5.38522190676e-07 0.040675 171.720009695 4.12128023268 16.188 12.453
84606 68.020226 -13.17218 None None 75199 04320485-1310198 None 7.51773504958e-07 0.042357 179.042726476 4.29702543543 15.644 11.969
84607 68.048187 -13.13246 None None 75200 04321156-1307568 None 2.62494047863e-07 0.0356643178322 150.00867544 3.60020821056 16.89 14.314
86429 68.090424 -13.150326 None None 93381 04322170-1309011 None 5.25113105336e-08 0.051691 219.993209528 5.27983702868 16.723 13.377
210513 68.1315 -13.206997 None None None 04323156-1312251 None 7.87673831182e-07 0.035994 151.432438161 3.63437851587 15.76 12.26
306569 68.1317 -13.20739 None None 15472 None None 1.47203763675e-07 0.0299315249658 125.35853809 3.00860491415 16.17 nan
323986 68.0909 -13.26342 None None 940413 None None 6.80788432114e-08 0.0330445665223 138.718902182 3.32925365238 17.8 nan
323989 67.8834 -13.24277 None None 940721 None None 3.85387837923e-08 0.0302022151011 126.517883808 3.0364292114 17.7 nan
585793 67.889389 -13.271194 None None 940303 04313345-1316162 None 9.72709106544e-23 0.100861580431 444.318678147 10.6636482755 18.15 14.019
3098 68.407669 -13.261956 None None None 04333784-1315430 None 4.67369896819e-08 0.019582 81.3747517146 1.95299404115 13.597 9.733
20542 68.320465 -13.151804 None None 15513 04331691-1309064 None 1.30570524761e-06 0.03882 163.664264719 3.92794235325 15.38 11.238
20715 68.423073 -13.170289 None None 15525 04334153-1310130 None 9.24993001877e-07 0.042569 179.96691576 4.31920597823 15.393 11.252
27123 68.428223 -13.340011 None None 15527 04334277-1320240 None 3.92181273814e-07 0.032388 135.896092023 3.26150620855 15.744 11.479
32978 68.37912 -13.379456 None None 15519 04333098-1322460 None 7.92329430906e-07 0.035854 150.82775337 3.61986608089 15.727 11.642
80585 68.250259 -13.266521 None None 15499 04330006-1315594 None 5.39155080554e-07 0.043401 183.596582985 4.40631799165 15.871 11.817
80590 68.383705 -13.172234 None None 15522 04333208-1310200 None 1.10072602385e-06 0.038725 163.252275744 3.91805461787 15.572 11.827
80594 68.464119 -13.248318 None None 15532 04335138-1314539 None 9.69398213074e-07 0.039076 164.774742929 3.95459383029 15.685 11.811
84617 68.33017 -13.276247 None None 75214 04331924-1316344 None 5.48873041632e-07 0.040668 171.689570924 4.12054970218 16.168 12.487
84619 68.33976 -13.22056 None None 75216 04332154-1313140 None 3.58728112039e-07 0.041783 176.541822943 4.23700375063 16.514 12.84
84621 68.391396 -13.380845 None None 75221 04333393-1322510 None 2.32734184263e-08 0.05529 235.92436865 5.66218484761 16.52 12.536
84622 68.400818 -13.236123 None None 75223 04333619-1314100 None 1.54921069348e-07 0.0314502457251 131.868987095 3.16485569028 16.52 13.148
84627 68.415092 -13.342235 None None 75230 04333962-1320320 None 4.20656735947e-07 0.042352 179.020932884 4.29650238921 16.275 12.411
84628 68.420799 -13.300289 None None 75231 04334099-1318010 None 3.67894395877e-07 0.035933 151.168953493 3.62805488383 16.575 12.746
84629 68.541168 -13.243049 None None 75235 04340988-1314349 None 3.49025649428e-07 0.040027 168.903524451 4.05368458682 16.718 12.951
86435 68.310196 -13.330415 None None 93396 04331444-1319494 None 1.12588076507e-07 0.0388325894163 163.718865734 3.92925277762 18.04 14.03
86436 68.33532 -13.347358 None None 93400 04332047-1320504 None 8.20173095812e-08 0.046237 196.000677035 4.70401624884 17.467 13.837
86437 68.400536 -13.24529 None None 93414 04333612-1314430 None 5.1229924954e-08 0.0308895454448 129.463712031 3.10712908873 17.576 13.227
86440 68.453606 -13.207507 None None 93427 04334886-1312270 None 2.14603164926e-07 0.042283 178.720196947 4.28928472673 17.014 13.313
86442 68.513206 -13.219715 None None 93435 04340316-1313109 None 1.27247007978e-07 0.045774 193.972251653 4.65533403967 17.072 13.654
210523 68.530327 -13.253882 None None None 04340727-1315139 None 1.56953546191e-07 0.046032 195.102400702 4.68245761685 16.799 13.279
306572 68.4078 -13.26152 None None 15524 None None 2.26776037981e-06 0.0323104061552 135.56266519 3.25350396456 13.82 nan
306574 68.5303 -13.25415 None None 15546 None None 5.64837756913e-08 0.0308895454448 129.463712031 3.10712908873 17.47 nan
308210 68.3474 -13.33921 None None 75217 None None 1.46489744108e-07 0.0334927067464 140.647146533 3.3755315168 17.07 nan
309276 68.2788 -13.21084 None None 93391 None None 1.39350657465e-08 0.0292651946326 122.50663355 2.94015920521 18.54 nan
309277 68.2956 -13.2362 None None 93394 None None 2.39307073238e-08 0.0300667650334 125.937704377 3.02250490506 18.18 nan
309288 68.3811 -13.28186 None None 93409 None None 3.3770095333e-08 0.0315922057961 132.478272344 3.17947853625 18.21 nan
309289 68.3835 -13.25511 None None 93410 None None 4.18257822106e-08 0.0327488863744 137.447339028 3.29873613667 18.26 nan
309290 68.3897 -13.3147 None None 93412 None None 9.38159974238e-08 0.0386591293296 162.966645286 3.91119948687 18.25 nan
309292 68.4283 -13.14643 None None 93421 None None 6.44802558849e-08 0.0344072572036 144.586100912 3.47006642189 18.16 nan
309297 68.4699 -13.25661 None None 93429 None None 1.39350657465e-08 0.0292651946326 122.50663355 2.94015920521 18.54 nan
535293 68.38826 -13.286678 None None 93411 04333318-1317120 None 2.64399027252e-10 0.064456 276.850994184 6.64442386041 17.576 13.948
