# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data2/THACHER/workspace/gw190425/1/t005aae18878.r.ut190516.065909_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
11 340346 219.65391322 46.598179037 18.46 r 17.5131 25 6.303 2283.154 634.881 0.21787529 1.1678886 -0.19746618 2.194 0.921 5.9 0.58
18 456283 219.69026127 46.61625742 18.31 r 16.4653 103 10.455 2133.09 743.026 0.1333221 0.13535076 0.017126776 2.82 2.645 -41.6 0.062
22 74432 219.89347238 46.631119103 15.523 r 15.1752 679 10.298 1295.653 831.645 0.030994441 0.021002522 0.017299434 7.903 5.271 -60.0 0.333
28 10235 219.6570373 46.663004524 14.76 r 13.7273 1615 12.207 2269.351 1023.805 0.0162024 0.013050686 0.0087642865 10.015 7.201 -54.9 0.281
34 23673 219.72684089 46.665591889 15.226 r 14.1242 1069 10.233 1981.895 1038.775 0.019917272 0.020881824 -0.00048305915 7.096 6.911 13.3 0.026
35 296512 220.02831192 46.653533141 18.13 r 17.1721 25 7.797 740.407 966.955 0.46454042 0.6000554 0.061173499 1.478 1.284 -12.1 0.131
41 134779 219.72080294 46.674420684 16.56 r 15.5124 417 7.542 2006.673 1091.786 0.043903593 0.041611426 -0.013061518 5.261 4.5 50.0 0.145
45 134950 219.74146152 46.689481275 16.45 r 15.285 504 7.806 1921.507 1182.028 0.049472805 0.027030744 -0.0025758254 6.091 4.493 86.7 0.262
48 286582 219.75910655 46.691889321 16.21 r 16.0972 247 5.633 1848.87 1196.39 0.071355671 0.069282234 -0.005614548 3.854 3.693 55.1 0.042
59 692695 219.88113632 46.720130002 18.803 r 17.5065 35 6.326 1346.733 1365.683 0.26508886 0.52798468 -0.10880272 1.983 1.362 11.2 0.313
66 63524 219.78523633 46.746789741 16.432 r 15.1856 516 8.244 1741.087 1525.695 0.043193828 0.029464861 0.0057711666 5.884 4.78 -78.6 0.188
72 1250305 219.82017633 46.754886968 18.29 r 17.264 38 7.515 1597.422 1574.203 0.22059472 0.5666219 -0.21767677 2.299 1.293 16.1 0.438
