# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=t005aae0333.r.ut190712.080936_1.sw.dcmp, DB ID=21193, Field
#       Name=t005aae0333, RA (deg)=252.7744, Dec (deg)=23.2025, MJD=58677.34, Exp Time
#       (sec)=180.0, Lim Mag=20.0237, Instrument=THACHER, E(B-V)=0.136690317523, Filter=SDSS
#       r, A_lambda=0.31233737554005503, Net 2D Prob=1.3369902068459999e-05, Redistributed
#       2D Prob=5.209778410146083e-06, Net 4D Prob=5.9183067689129074e-05, Weighted
#       Mean Pixel Comp=0.6103353350331483, Weighted Mean Pixel Dist=178.49911749400002]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
22496 252.559448 23.441244 None None 59087 16501426+2326284 None 1.9973068168e-06 0.027826 116.356274552 2.79255058925 14.638 11.296
54078 252.545517 23.212357 None None 1683426 16501092+2312444 None 9.89853828643e-06 0.038984 164.375618425 3.94501484219 16.458 12.613
78563 252.727417 23.310024 None None 1685129 16505458+2318360 None 5.8802400438e-06 0.037712 158.862625766 3.81270301838 16.729 13.082
628454 252.51741 23.23291 None None 1683772 16500417+2313584 None 0.0 0.15818047909 723.312295554 17.3594950933 18.27 14.042
54079 252.974243 23.427795 None None 1687191 16515381+2325400 None 1.56449014623e-06 0.0358247579124 150.701466884 3.61683520522 17.68 13.984
65610 253.072128 23.300444 None None 59153 16521731+2318015 None 2.69941252137e-05 0.043037 182.008081975 4.3681939674 15.948 12.423
77431 253.053986 23.307673 None None 1685104 16521295+2318276 None 2.02404113253e-06 0.029752 124.589896939 2.99015752654 15.403 12.654
77438 253.003479 23.37879 None None 1686360 16520083+2322436 None 3.49779791483e-06 0.0371324285662 156.35400079 3.75249601895 17.15 13.933
392983 252.956 23.43559 None None SDSSJ165149.46+232607.9 None None 1.26501710467e-06 0.0368012584006 154.921488492 3.7181157238 18.17 nan
529019 253.027069 23.316011 None None 1685242 16520649+2318576 None 0.0 0.138865509433 627.262897729 15.0543095455 17.93 13.941
628528 252.821976 23.306234 None None 1685077 16511727+2318224 None 0.0 0.152171 693.210922191 16.6370621326 17.849 13.855
1228811 252.949 23.29329 None None 1684825 None None 0.0 0.13653975827 615.835116273 14.7800427905 18.42 nan
2323200 252.83 23.28875 None None SDSSJ165119.16+231719.3 None None 0.0 0.158843239422 726.643984964 17.4394556391 18.58 nan
2323220 252.892 23.3617 None None SDSSJ165134.04+232142.3 None None 0.0 0.158843239422 726.643984964 17.4394556391 19.14 nan
2323233 252.936 23.20296 None None SDSSJ165144.69+231210.6 None None 2.09013114841e-21 0.100861580431 444.318678147 10.6636482755 19.13 nan
2323267 253.072 23.32526 None None SDSSJ165217.25+231930.9 None None 0.0 0.165613642807 760.813856113 18.2595325467 19.39 nan
296349 252.829 23.24408 None None 1683970 None None 8.51732619993e-07 0.0330445665223 138.718902182 3.32925365238 17.51 nan
457731 252.84404 23.187901 None None 1682986 16512256+2311164 None 0.0 0.122702 548.462342009 13.1630962082 17.986 13.765
2323190 252.734 23.03342 None None SDSSJ165056.12+230200.3 None None 0.0 0.15752023876 719.9956268 17.2798950432 18.23 nan
