# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=t005aae15682.r.ut190707.082454_1.sw.dcmp, DB ID=21313, Field
#       Name=t005aae15682, RA (deg)=239.7925, Dec (deg)=41.894, MJD=58672.350625, Exp
#       Time (sec)=180.0, Lim Mag=20.7874, Instrument=THACHER, E(B-V)=0.0456053210516,
#     Filter=SDSS r, A_lambda=0.104208158602906, Net 2D Prob=9.1614853662e-06, Redistributed
#       2D Prob=2.880926280280779e-06, Net 4D Prob=4.3539657587061834e-05, Weighted
#       Mean Pixel Comp=0.6855393896158425, Weighted Mean Pixel Dist=177.655017782]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
35326 239.697449 41.938145 None None 56550 15584738+4156173 None 1.45391748311e-05 0.035125 147.681028214 3.54434467715 14.6 11.659
128210 239.799881 42.135914 None None 2193065 15591197+4208092 None 5.35696329043e-06 0.0393571696786 165.9948667 3.9838768008 16.8 14.439
62325 239.491867 41.792736 None None 56506 15575804+4147338 None 1.91457846136e-06 0.029209 122.266245737 2.93438989769 14.642 11.863
221805 239.610825 41.673939 None None None 15582659+4140261 None 1.20702904541e-05 0.039295 165.725042188 3.97740101252 15.904 13.272
294287 239.611 41.67365 None None 2184923 None None 2.43789607488e-06 0.0356643178322 150.00867544 3.60020821056 16.7 nan
377448 239.496 41.79121 None None SDSSJ155758.98+414728.3 None None 2.87624064858e-06 0.0361473180737 152.094784798 3.65027483514 16.66 nan
388136 239.5 41.77236 None None SDSSJ155759.96+414620.5 None None 7.01060198146e-07 0.0358247579124 150.701466884 3.61683520522 18.1 nan
388138 239.533 41.74253 None None SDSSJ155807.81+414433.2 None None 7.56509337182e-07 0.0494033647017 209.907705493 5.03778493182 18.45 nan
2284259 239.58 41.7693 None None SDSSJ155819.19+414609.4 None None 0.0 0.193053306527 901.787148667 21.642891568 19.18 nan
2284300 239.644 41.81456 None None SDSSJ155834.66+414852.3 None None 0.0 0.116189488095 517.125156344 12.4110037523 18.56 nan
342856 240.074 41.83724 None None 2790938 None None 6.01801100305e-09 0.0244322522161 101.904256565 2.44570215757 18.6 nan
2284385 239.867 41.82585 None None SDSSJ155928.06+414933.1 None None 0.0 0.146681503341 665.885292439 15.9812470185 18.43 nan
2284392 239.881 41.82807 None None SDSSJ155931.32+414941.0 None None 0.0 0.146681503341 665.885292439 15.9812470185 18.71 nan
2336499 239.925 41.66349 None None SDSSJ155941.95+413948.2 None None 0.0 0.14729932365 668.952484606 16.0548596305 18.88 nan
