# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=t005aae18878.r.ut190516.065909_1.sw.dcmp, DB ID=21395, Field
#       Name=t005aae18878, RA (deg)=219.8453, Dec (deg)=46.7397, MJD=58620.29107638889,
#     Exp Time (sec)=180.0, Lim Mag=19.331, Instrument=THACHER, E(B-V)=0.0300447622174,
#     Filter=SDSS r, A_lambda=0.068652281666759, Net 2D Prob=1.165567362842e-05, Redistributed
#       2D Prob=7.67233173193859e-06, Net 4D Prob=0.00011186250324567433, Weighted Mean
#       Pixel Comp=0.3417513241593207, Weighted Mean Pixel Dist=164.247808734]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
63524 219.785309 46.746876 None None 2286446 14390847+4644487 None 1.4211053355e-05 0.03711 156.256962267 3.75016709442 16.432 12.423
74432 219.893402 46.631306 None None 2284455 14393441+4637527 None 1.96842437759e-05 0.045644 193.402950684 4.64167081641 15.523 12.462
296512 220.028 46.65326 None None 2284834 None None 2.78894792047e-06 0.0368012584006 154.921488492 3.7181157238 18.13 nan
478049 219.928345 46.616501 None None 84259 14394280+4636594 None 1.75739942574e-11 0.072299 312.26968524 7.49447244575 16.468 13.16
692695 219.881348 46.7202 None None SDSSJ143931.51+464312.3 14393152+4643127 None 2.03971887963e-16 0.0822958911479 357.943908788 8.5906538109 18.803 14.441
1250305 219.82 46.755 None None 2286576 None None 1.3263979573e-13 0.0760855580428 329.500463843 7.90801113223 18.29 nan
10235 219.656998 46.663132 None None NGC5717 14383767+4639472 None 1.83090731192e-05 0.032028 134.349458676 3.22438700823 14.76 10.663
23673 219.726624 46.665615 None None NGC5722 14385438+4639562 None 1.84708636437e-05 0.033552 140.902364845 3.38165675627 15.226 11.322
134779 219.720551 46.674507 None None NGC5721 14385293+4640282 None 1.11536310832e-05 0.04337 183.46126696 4.40307040703 16.56 12.582
134950 219.741226 46.689495 None None NGC5723 14385789+4641221 None 1.38940399267e-05 0.037081 156.131496642 3.74715591942 16.45 12.371
286582 219.759 46.69206 52360 NGC5724 NGC5724 None None 1.33746540577e-08 0.0188834194417 78.4300411991 1.88232098878 16.21 nan
303936 219.678 46.60065 None None 2283962 None None 3.74685991438e-06 0.0378035889018 159.259249743 3.82222199384 18.03 nan
340346 219.654 46.59842 None None 2283929 None None 1.91806641429e-06 0.0364728182364 153.50145284 3.68403486815 18.46 nan
456283 219.69017 46.616463 None None 2284223 14384564+4636592 None 0.0 0.1669992235 767.837048584 18.428089166 18.31 14.014
653964 219.802017 46.517715 None None 2282574 14391248+4631037 None 0.0 0.207866293933 979.516714079 23.5084011379 18.67 14.303
