# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=t005aae19062.r.ut190517.075751_1.sw.dcmp, DB ID=21401, Field
#       Name=t005aae19062, RA (deg)=235.98, Dec (deg)=47.0877, MJD=58621.33184027778,
#     Exp Time (sec)=180.0, Lim Mag=18.8785, Instrument=THACHER, E(B-V)=0.0366180214938,
#     Filter=SDSS r, A_lambda=0.08367217911333301, Net 2D Prob=8.72876075967e-06, Redistributed
#       2D Prob=3.3504637592923508e-06, Net 4D Prob=3.511950060575363e-05, Weighted
#       Mean Pixel Comp=0.6161581407096536, Weighted Mean Pixel Dist=171.29758067900002]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
50973 236.029388 47.29443 55905 UGC10004 UGC10004 15440705+4717399 None 1.89882983417e-08 0.0197771798886 82.1980366097 1.97275287863 15.19 13.942
58702 236.084518 47.158882 None None 2293355 15442028+4709319 None 1.14315817378e-05 0.043695 184.880195124 4.43712468298 16.076 12.888
59054 235.88446 47.123367 None None 2292747 15433227+4707241 None 3.03950635299e-06 0.049665 211.059567279 5.0654296147 16.405 13.206
517194 236.004791 47.034157 None None 2291245 15440114+4702029 None 1.79334005802e-16 0.086787 378.654381868 9.08770516483 16.836 12.608
2187698 236.112 47.11655 None None SDSSJ154426.79+470659.5 None None 1.8687490009e-12 0.0757537578769 327.987211638 7.87169307932 17.71 nan
2283492 236.128 47.16853 None None SDSSJ154430.76+471006.6 None None 0.0 0.195452557726 914.300451826 21.9432108438 19.01 nan
474889 235.724899 46.87516 None None 2288628 15425397+4652305 None 0.0 0.101139 445.624469472 10.6949872673 17.501 13.586
517146 235.752502 46.940014 None None 2289714 15430060+4656240 None 2.72400245908e-13 0.07863 341.126588937 8.18703813449 17.239 13.211
2283446 235.683 46.99091 None None SDSSJ154243.86+465927.1 None None 0.0 0.14729932365 668.952484606 16.0548596305 18.7 nan
2283454 235.777 46.96465 None None SDSSJ154306.35+465752.7 None None 0.0 0.127055103528 569.541564431 13.6689975463 18.59 nan
12458 236.112076 47.00668 None None 55917 15442689+4700240 None 8.14600916368e-06 0.03253 136.506373711 3.27615296908 14.697 10.816
61177 236.162582 46.993919 None None 2290574 15443901+4659381 None 4.14161373199e-07 0.055245 235.724689922 5.65739255814 16.854 13.56
61515 236.084763 47.018883 None None 2290988 15442034+4701079 None 1.72184953938e-06 0.0372989586495 157.074600022 3.76979040054 17.75 14.123
74448 236.139877 46.836136 None None 2287977 15443357+4650100 None 3.10496996263e-06 0.0459 194.524134142 4.6685792194 17.164 13.555
297258 236.137 46.97699 None None 2290296 None None 1.77006658775e-06 0.0374665387333 157.799915236 3.78719796567 17.76 nan
388065 236.207 46.9353 None None SDSSJ154449.65+465607.1 None None 8.80888527562e-07 0.0384865092433 162.218251319 3.89323803166 18.75 nan
388066 236.241 46.9985 None None SDSSJ154457.72+465954.6 None None 1.2410131618e-06 0.0383145191573 161.472771069 3.87534650567 18.34 nan
1123743 236.200089 47.061691 None None 2291727 15444802+4703420 None 0.0 0.127055103528 569.541564431 13.6689975463 17.76 13.974
