# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=t005aae20868.r.ut190717.064321_1.sw.dcmp, DB ID=21497, Field
#       Name=t005aae20868, RA (deg)=248.002, Dec (deg)=50.2112, MJD=58682.28010416667,
#     Exp Time (sec)=180.0, Lim Mag=20.2195, Instrument=THACHER, E(B-V)=0.0550203375611,
#     Filter=SDSS r, A_lambda=0.1257214713271135, Net 2D Prob=9.07672038129e-06, Redistributed
#       2D Prob=4.153035381269653e-06, Net 4D Prob=0.00010946072485285921, Weighted
#       Mean Pixel Comp=0.5406216218610536, Weighted Mean Pixel Dist=173.1324607736173]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
176197 247.87146 50.255257 None None 2367575 16312915+5015189 None 1.09486575063e-05 0.04581 194.129922473 4.65911813936 16.201 12.257
216027 247.799286 50.296341 None None None 16311182+5017468 None 9.20857615701e-06 0.050067 212.830202319 5.10792485566 15.717 12.92
216028 247.927917 50.236908 None None None 16314270+5014128 None 4.58562606239e-06 0.031782 133.293054346 3.19903330431 15.204 13.25
657191 247.882797 50.400253 None None 2371919 16313187+5024009 None 2.05492849386e-12 0.081622 354.846499523 8.51631598855 17.009 13.836
824126 247.930557 50.261353 None None 2367745 16314333+5015408 None 8.40705316659e-19 0.098439 432.934605697 10.3904305367 16.803 13.391
953303 247.875809 50.264698 None None None 16313019+5015529 None 0.0 0.15524 708.55909894 17.0054183746 18.295 13.805
7845 248.238373 50.401421 None None 58484 16325720+5024051 None 1.74744806128e-06 0.026392 110.240934877 2.64578243705 14.231 10.455
15518 248.307663 50.398338 None None 58492 16331383+5023540 None 1.20131969528e-05 0.034451 144.774630014 3.47459112033 14.867 10.99
83045 248.339752 50.405582 None None 58494 16332154+5024200 None 3.79414975661e-05 0.040624 171.498248395 4.11595796147 14.965 12.174
128749 248.254059 50.395027 None None 2371774 16330097+5023420 None 6.21738930603e-06 0.0466288433144 197.718383648 4.74524120755 16.3 12.01
130163 248.292282 50.306126 None None 2832042 16331014+5018220 None 5.13811179325e-06 0.034964 146.986514796 3.5276763551 15.924 12.773
216030 248.240967 50.315865 None None None 16325783+5018571 None 2.38929932231e-07 0.057124 244.072792773 5.85774702656 17.252 13.115
824140 248.432877 50.278072 None None 2368270 16334389+5016410 None 1.64425829566e-19 0.097026 426.31031925 10.231447662 17.946 13.849
824155 248.260101 50.300861 None None 2368934 16330242+5018030 None 2.83662993229e-09 0.068847 296.635433441 7.11925040257 16.694 13.496
824200 248.272354 50.386414 None None 2371530 16330536+5023110 None 9.18935604168e-10 0.069194 298.203807051 7.15689136923 17.717 13.684
42551 247.789749 50.030228 58416 PGC058416 PGC058416 16310953+5001488 None 3.97765922049e-06 0.030499 127.789514189 3.06694834054 14.934 12.45
83043 248.069168 50.189346 None None 58466 16321660+5011216 None 1.13692534015e-05 0.03467 145.718686028 3.49724846466 15.07 11.788
128718 247.903473 50.035252 None None 2360939 16313683+5002069 None 8.47217692059e-08 0.062582 268.442445919 6.44261870205 17.0 13.674
128728 247.926971 50.167744 None None 2364930 16314247+5010038 None 1.8328639712e-06 0.056515 241.364766503 5.79275439608 15.864 11.821
824067 247.898346 50.155254 None None 2364527 16313560+5009189 None 1.51336706393e-13 0.084638 368.729669017 8.8495120564 17.356 13.901
