# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=t005aae22705.r.ut190516.065141_1.sw.dcmp, DB ID=21541, Field
#       Name=t005aae22705, RA (deg)=218.2389, Dec (deg)=53.3224, MJD=58620.2858912037,
#     Exp Time (sec)=180.0, Lim Mag=18.9815, Instrument=THACHER, E(B-V)=0.0169227196858,
#     Filter=SDSS r, A_lambda=0.038668414482053, Net 2D Prob=1.5048412014310001e-05,
#     Redistributed 2D Prob=4.7954390715957376e-06, Net 4D Prob=8.627915602455286e-05,
#     Weighted Mean Pixel Comp=0.6985724772964416, Weighted Mean Pixel Dist=161.88019203589806]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
74979 218.049728 53.341682 None None 2438322 14321193+5320300 None 3.59295940262e-06 0.045197902599 191.450168655 4.59480404772 17.04 14.125
279242 218.086 53.43897 2441100 PGC2441100 PGC2441100 None None 3.4846482026e-13 0.00784749392375 32.3187784163 0.775650681992 17.46 nan
412595 218.255035 53.306118 None None 2437343 14330120+5318220 None 2.05404440049e-07 0.055995 239.054266111 5.73730238668 16.11 12.41
1255794 218.124 53.39658 None None 2439903 None None 2.66045142729e-12 0.0700161350081 301.922560537 7.24614145288 18.29 nan
1255859 218.055 53.48532 None None 2442407 None None 8.04831788193e-20 0.0863253731627 376.520177207 9.03648425296 18.36 nan
519512 218.103317 53.216709 None None 2434833 14322479+5313001 None 1.22644790779e-11 0.069823 301.048593848 7.22516625234 16.807 13.492
519520 218.016876 53.235191 None None 2435355 14320405+5314066 None 0.0 0.110347 489.215921537 11.7411821169 17.259 13.122
658559 218.152008 53.157547 None None 2433255 14323648+5309271 None 0.0 0.104392102196 460.969522947 11.0632685507 18.22 14.339
1255607 218.019 53.2013 None None 2434448 None None 0.0 0.104841502421 463.094136258 11.1142592702 18.47 nan
1255635 218.055 53.23509 None None 2435360 None None 0.0 0.0987126493563 434.2188323 10.4212519752 18.27 nan
11476 218.290863 53.232792 None None 51994 14330980+5313580 None 1.98874285389e-05 0.032024 134.332278371 3.2239746809 14.587 10.747
22718 218.275528 53.265289 None None 51993 14330612+5315550 None 5.11313199048e-05 0.039516 166.684318897 4.00042365353 15.135 11.286
74978 218.451843 53.321339 None None 2437746 14334844+5319168 None 2.80693233318e-06 0.0442018721009 187.094454678 4.49026691228 17.58 13.951
128890 218.402008 53.134422 None None 2432658 14333648+5308039 None 1.11077666286e-06 0.0468367434184 198.630126679 4.76712304029 17.97 14.027
341443 218.437 53.17609 None None 2433750 None None 1.13853731639e-06 0.0453995026998 192.332518339 4.61598044014 18.3 nan
341445 218.313 53.18026 None None 2433873 None None 1.61034306671e-06 0.0432274716137 182.83920154 4.38814083697 18.37 nan
519499 218.187256 53.187813 None None 2434057 14324494+5311161 None 9.12671923216e-17 0.081831 355.806842064 8.53936420954 17.535 13.526
1255509 218.501 53.06938 None None 2431030 None None 1.39614397006e-14 0.0760855580428 329.500463843 7.90801113223 18.6 nan
