# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=t005aae23892.r.ut190425.074441_1.sw.dcmp, DB ID=21572, Field
#       Name=t005aae23892, RA (deg)=206.2763, Dec (deg)=55.7514, MJD=58599.32269675926,
#     Exp Time (sec)=180.0, Lim Mag=21.2509, Instrument=THACHER, E(B-V)=0.0200542554306,
#     Filter=SDSS r, A_lambda=0.045823973658921005, Net 2D Prob=1.4302579284119999e-05,
#     Redistributed 2D Prob=5.0548135136770305e-06, Net 4D Prob=0.000178177964876697,
#     Weighted Mean Pixel Comp=0.646580283649304, Weighted Mean Pixel Dist=151.247150886]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
14702 206.175293 55.886993 None None UGC08696 13444207+5553131 None 2.13068902041e-05 0.032901 138.10143129 3.31443435097 15.218 10.944
36901 206.089615 55.855904 None None 48678 13442150+5551212 None 2.64903734088e-05 0.03709 156.170433696 3.74809040869 15.624 11.692
53048 206.166077 55.993942 None None 48707 13443985+5559381 None 5.17361535257e-05 0.036897 155.335559652 3.72805343164 14.919 12.099
408589 206.093063 55.951462 None None 214144 13442233+5557052 None 8.84890362254e-10 0.060346 258.437176518 6.20249223643 16.329 12.462
520715 206.211243 55.718208 None None 2511980 13445069+5543055 None 0.0 0.090101 394.012242627 9.45629382305 16.974 13.129
1258243 206.257 55.71274 None None 2511777 None None 0.0 0.116189488095 517.125156344 12.4110037523 18.43 nan
1265689 206.114 56.02494 None None 2816060 None None 2.07207304082e-14 0.0706324853162 304.71312743 7.31311505832 17.76 nan
2276965 206.142 55.85196 None None SDSSJ134434.12+555107.1 None None 0.0 0.151692735846 690.823702881 16.5797688691 18.97 nan
2276971 206.162 55.81282 None None SDSSJ134438.82+554846.2 None None 0.0 0.133683756842 601.842772937 14.4442265505 18.63 nan
2276984 206.233 55.76045 None None SDSSJ134455.93+554537.6 None None 0.0 0.152970166485 697.202669531 16.7328640687 19.07 nan
392608 206.005 55.56699 None None SDSSJ134401.10+553401.3 None None 2.1307826168e-06 0.0406081403041 171.429289556 4.11430294934 17.8 nan
405602 205.859238 55.776516 None None 2513985 13432621+5546354 None 5.37498117126e-10 0.06029 258.186982755 6.19648758613 16.916 13.354
443110 206.092 55.57576 None None SDSSJ134422.15+553432.8 None None 4.49156269666e-09 0.0549507274754 234.41921469 5.62606115256 18.5 nan
474650 205.954788 55.624001 None None 2508641 13434914+5537264 None 0.0 0.08392 365.419755474 8.77007413139 17.43 13.342
475714 205.909042 55.640682 None None 2509260 13433817+5538264 None 0.0 0.100618 443.172529663 10.6361407119 17.962 13.642
520677 205.937576 55.633728 None None 2509027 13434501+5538014 None 5.82274079851e-13 0.0684974142487 295.056097847 7.08134634833 16.53 11.888
520705 206.187241 55.69754 None None 2511248 13444493+5541511 None 0.0 0.160847060424 736.731545728 17.6815570975 18.41 14.001
520756 205.937332 55.814007 None None 2515225 13434495+5548504 None 1.0889299664e-15 0.073321 316.911941916 7.60588660598 17.734 13.681
528473 205.924866 55.714844 None None 2511855 13434196+5542534 None 0.0 0.1566 715.376795679 17.1690430963 17.937 13.52
660728 206.038757 55.779503 None None 2514088 13440930+5546462 None 0.0 0.116686558343 519.508554237 12.4682053017 17.99 14.28
688026 205.96814 55.656769 None None SDSSJ134352.39+553924.5 13435235+5539243 None 0.0 0.086887 379.116868349 9.09880484038 17.4 13.685
826337 205.963196 55.64677 None None 2509480 13435116+5538483 None 2.79195534351e-19 0.080525 349.810058109 8.39544139461 16.907 13.369
1153619 206.036 55.70612 None None 2511548 None None 5.04358137659e-14 0.0700161350081 301.922560537 7.24614145288 17.5 nan
1258234 205.95 55.70488 None None 2511483 None None 6.37902921348e-14 0.0691009545505 297.783189076 7.14679653782 18.27 nan
2187038 206.012 55.64973 None None SDSSJ134402.90+553859.0 None None 1.474872884e-13 0.0691009545505 297.783189076 7.14679653782 17.36 nan
2276923 205.902 55.8228 None None SDSSJ134336.46+554922.0 None None 3.05680306868e-13 0.0673052436526 289.675664539 6.95221594893 18.5 nan
2276935 205.972 55.65759 None None SDSSJ134353.22+553927.1 None None 1.15028437764e-13 0.0676013438007 291.011215125 6.98426916299 19.25 nan
2276944 206.035 55.73151 None None SDSSJ134408.29+554353.6 None None 9.67866661234e-14 0.0687985543993 296.416525634 7.1139966152 18.15 nan
2276970 206.16 55.55651 None None SDSSJ134438.48+553323.6 None None 0.0 0.232052006026 1108.81710115 26.6116104275 19.69 nan
29716 206.511703 55.715267 None None None 13460280+5542549 None 3.89684856246e-05 0.033218 139.464999163 3.34715997992 14.652 11.507
56189 206.44606 55.756916 None None 2513345 13454705+5545248 None 5.33847116768e-06 0.044514 188.458760269 4.52301024645 15.787 12.005
314403 206.587 55.74592 None None 214149 None None 4.20894578261e-06 0.0355049277525 149.320575283 3.58369380679 17.64 nan
380415 206.511 55.71573 None None UGC08707 None None 2.2937133648e-05 0.0406081403041 171.429289556 4.11430294934 15.22 nan
2277031 206.511 55.62731 None None SDSSJ134602.65+553738.3 None None 5.02611040434e-14 0.0697097448549 300.536199482 7.21286878756 17.85 nan
2334474 206.529 55.56223 None None SDSSJ134606.93+553344.1 None None 0.0 0.117686578843 524.307770883 12.5833865012 18.73 nan
