# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=t005aae30229.r.ut190516.054436_1.sw.dcmp, DB ID=21620, Field
#       Name=t005aae30229, RA (deg)=179.8246, Dec (deg)=21.1153, MJD=58620.23930555556,
#     Exp Time (sec)=180.0, Lim Mag=19.3992, Instrument=THACHER, E(B-V)=0.059607720403,
#     Filter=SDSS r, A_lambda=0.136203641120855, Net 2D Prob=4.5382591899599995e-06,
#     Redistributed 2D Prob=0.0, Net 4D Prob=2.2303213533781714e-05, Weighted Mean Pixel
#       Comp=1.0, Weighted Mean Pixel Dist=104.90731936099999]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
31078 179.516312 21.247885 None None 37645 11580391+2114523 None 7.84076669099e-06 0.0251038325519 104.7584299 2.51420231761 15.01 11.552
294168 179.676 21.23446 None None 1645721 None None 4.21897044515e-07 0.0234578517289 97.768125898 2.34643502155 17.6 nan
2401760 179.657 21.24414 None None SDSSJ115837.69+211438.6 None None 0.0 0.14729932365 668.952484606 16.0548596305 18.59 nan
2401797 179.735 21.21748 None None SDSSJ115856.36+211302.7 None None 0.0 0.167696213848 771.373804515 18.5129713084 18.62 nan
12183 179.901199 21.247591 None None 37780 11593628+2114513 None 4.59684492973e-06 0.022003 91.6036274915 2.1984870598 14.368 10.802
53394 179.942627 21.295099 None None 37797 11594623+2117423 None 2.72192498809e-06 0.029389 123.036313891 2.95287153338 15.114 13.288
70489 179.895538 21.264532 None None 1646380 11593492+2115523 None 1.6863009176e-07 0.031426 131.764938193 3.16235851663 17.25 13.768
335217 180.089 21.26727 None None 1646443 None None 3.07146571448e-07 0.025910022955 108.188404876 2.59652171702 18.42 nan
477822 179.966461 21.125099 None None 37808 11595195+2107303 None 0.0 0.0694048247024 299.157044441 7.17976906659 17.34 14.185
626283 179.9879 21.106762 None None 1642919 11595709+2106243 None 0.0 0.0697097448549 300.536199482 7.21286878756 18.05 14.097
626407 179.861969 21.22599 None None 1645533 11592687+2113335 None 0.0 0.106895 472.817082325 11.3476099758 17.541 13.766
2401971 180.091 21.29837 None None SDSSJ120021.72+211754.2 None None 0.0 0.0694048247024 299.157044441 7.17976906659 18.23 nan
82024 179.865494 21.010712 None None 37756 11592771+2100385 None 1.86624617397e-06 0.023173 96.5601095955 2.31744263029 15.87 12.515
82026 179.899765 21.118979 None None 37783 11593594+2107083 None 1.82461268829e-10 0.04165 175.962633538 4.2231032049 16.082 13.633
210309 179.839615 21.09127 None None None 11592150+2105285 None 2.19135764462e-06 0.022936 95.5554124944 2.29332989986 15.596 13.634
294335 179.861 20.99909 None None 1640560 None None 5.95921098827e-11 0.041897960949 177.042543149 4.24902103557 17.0 nan
298998 179.839 21.09111 None None 1642556 None None 2.18815734528e-06 0.0249904324952 104.27628936 2.50263094464 16.36 nan
2401830 179.794 21.0022 None None SDSSJ115910.51+210007.7 None None 0.0 0.121767510884 543.951065789 13.0548255789 18.74 nan
2401873 179.887 20.99867 None None SDSSJ115932.80+205955.3 None None 0.0 0.0694048247024 299.157044441 7.17976906659 17.9 nan
2401899 179.923 21.07918 None None SDSSJ115941.65+210445.0 None None 0.0 0.124384952192 556.599199346 13.3583807843 18.58 nan
