# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae13599.i.ut190429.5139_stch_1.sw.dcmp, DB ID=14721, Field
#       Name=s005aae13599, RA (deg)=243.8627, Dec (deg)=21.8302, MJD=58603.30998, Exp
#       Time (sec)=180.0, Lim Mag=22.2172, Instrument=SWOPE, E(B-V)=0.136436849892,
#     Filter=SDSS i, A_lambda=0.231669771116616, Net 2D Prob=0.00016398573561870002,
#     Redistributed 2D Prob=7.559183041683178e-06, Net 4D Prob=7.794990661087337e-06,
#     Weighted Mean Pixel Comp=0.9537051633903264, Weighted Mean Pixel Dist=185.30136412543044]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
9244 243.740997 21.938314 None None 57607 16145783+2156179 None 1.55135125121e-07 0.021056 87.5981183127 2.1023548395 14.113 10.605
527404 243.889023 22.000946 None None 1661559 16153336+2200034 None 1.74260139977e-08 0.069112 297.833118049 7.14799483317 17.107 13.105
1227994 243.718 21.95253 None None 1660584 None None 0.0 0.169803354902 782.081855631 18.7699645352 18.54 nan
498508 243.686615 21.780788 None None 1657118 16144478+2146508 None 0.0 0.181477 841.830800925 20.2039392222 18.422 13.885
1416909 243.626 21.93076 None None SDSSJ161430.24+215550.7 None None 0.0 0.222807381404 1059.04829646 25.4171591149 19.55 nan
627008 243.957123 21.76252 None None 1656725 16154970+2145450 None 0.0 0.190681145341 889.444405744 21.3466657379 19.14 14.173
627067 243.88208 21.824001 None None 1658028 16153169+2149264 None 0.0 0.159508519754 729.990720191 17.5197772846 18.42 14.244
1227922 243.961 21.82497 None None 1658058 None None 0.0 0.123857221929 554.045983334 13.2971036 18.73 nan
1408925 243.998 21.73708 None None SDSSJ161559.61+214413.2 None None 3.4760084066e-19 0.0941363270682 412.799152297 9.90717965513 18.66 nan
1412343 244.001 21.7846 None None SDSSJ161600.20+214704.4 None None 3.4125641031e-19 0.0941363270682 412.799152297 9.90717965513 18.68 nan
1421510 244.14 21.86219 None None SDSSJ161633.67+215144.1 None None 0.0 0.141228220614 638.902789346 15.3336669443 19.21 nan
1421511 244.068 21.81406 None None SDSSJ161616.26+214850.6 None None 0.0 0.222807381404 1059.04829646 25.4171591149 19.41 nan
1421512 243.933 21.97047 None None SDSSJ161543.83+215813.6 None None 6.04674405414e-08 0.0646953623477 277.92651598 6.67023638351 18.58 nan
476847 243.772461 21.801929 None None 1657560 16150539+2148069 None 0.0 0.104192 460.023879052 11.0405730973 16.91 13.85
498439 243.878464 21.69817 None None 1655317 16153083+2141534 None 0.0 0.122046 545.294968234 13.0870792376 17.476 13.746
1227817 243.751 21.66492 None None 1654685 None None 8.73010406089e-11 0.0744412572206 322.007625903 7.72818302166 18.58 nan
1421444 243.746 21.70537 None None SDSSJ161458.95+214219.1 None None 2.69173870276e-09 0.0694048247024 299.157044441 7.17976906659 18.77 nan
