# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae24968.i.ut190425.1062_stch_1.sw.dcmp, DB ID=14796, Field
#       Name=s005aae24968, RA (deg)=254.0813, Dec (deg)=-1.5195, MJD=58599.17543, Exp
#       Time (sec)=180.0, Lim Mag=21.4246, Instrument=SWOPE, E(B-V)=0.406934321523,
#     Filter=SDSS i, A_lambda=0.690974477946054, Net 2D Prob=8.0086028712e-05, Redistributed
#       2D Prob=3.750449932371378e-05, Net 4D Prob=0.0001589868847188068, Weighted Mean
#       Pixel Comp=0.5328930313765394, Weighted Mean Pixel Dist=161.47477001402652]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
254705 254.195892 -1.432299 None None None 16564701-0125562 None 1.33786182495e-06 0.027471 114.841172872 2.75618814892 16.823 13.639
254706 254.215622 -1.400076 None None None 16565174-0124002 None 3.51686465203e-06 0.029119 121.881287159 2.92515089182 16.652 13.837
429187 254.297745 -1.381079 None None None 16571145-0122518 None 2.00914157552e-08 0.059086 252.812378215 6.06749707716 16.767 13.068
430839 254.079376 -1.321577 None None None 16561905-0119176 None 2.34738413783e-09 0.061539 263.77167347 6.33052016327 17.052 13.96
1083843 254.097977 -1.268519 None None None 16562351-0116066 None 0.0 0.090935 397.887268743 9.54929444982 17.199 13.927
1112864 253.90477 -1.45602 None None None 16553714-0127216 None 0.0 0.094794 415.869970622 9.98087929493 17.446 13.527
25606 254.195358 -1.701466 None None None 16564688-0142052 None 3.82744571684e-05 0.03064 128.393846588 3.08145231812 14.844 11.461
122597 254.088577 -1.585187 None None 1115243 16562125-0135066 None 4.90297251214e-06 0.026977 112.734139764 2.70561935434 15.212 12.371
254707 254.167847 -1.743412 None None None 16564028-0144362 None 6.0424490833e-06 0.050958 216.758169829 5.2021960759 15.644 12.189
254708 254.2715 -1.703405 None None None 16570516-0142122 None 1.13019020912e-05 0.046083 195.325850358 4.6878204086 17.004 13.863
327531 254.168 -1.74333 None None 1111277 None None 3.55045225558e-06 0.0292651946326 122.50663355 2.94015920521 16.78 nan
327552 254.195 -1.70151 None None 1112354 None None 5.25329870076e-05 0.0351878275939 147.95209404 3.55085025697 16.2 nan
