# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae26051.i.ut190425.1060_stch_1.sw.dcmp, DB ID=14805, Field
#       Name=s005aae26051, RA (deg)=253.5991, Dec (deg)=-3.5065, MJD=58599.16878, Exp
#       Time (sec)=180.0, Lim Mag=21.1628, Instrument=SWOPE, E(B-V)=0.337983069777,
#     Filter=SDSS i, A_lambda=0.573895252481346, Net 2D Prob=0.0001334271035834, Redistributed
#       2D Prob=6.155300112012698e-05, Net 4D Prob=0.00031523688126592687, Weighted
#       Mean Pixel Comp=0.5397355910258458, Weighted Mean Pixel Dist=158.44121893308593]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
1083797 253.577042 -3.350057 None None None 16541849-0321002 None 1.17606597696e-14 0.073224 316.471070361 7.59530568865 16.206 12.167
1195806 253.577 -3.35 None None 1072505 None None 0.0 0.0889864944932 388.840217617 9.33216522281 17.48 nan
1083776 253.335358 -3.450556 None None None 16532048-0327020 None 0.0 0.12964 582.108607798 13.9706065872 18.045 13.804
1083779 253.474045 -3.389266 None None None 16535377-0323213 None 0.0 0.138389 624.919097899 14.9980583496 17.426 13.405
1083780 253.482132 -3.516766 None None None 16535571-0331003 None 4.10324934409e-19 0.080208 348.355995431 8.36054389035 16.853 13.844
1083798 253.601807 -3.415055 None None None 16542443-0324541 None 0.0 0.097468 428.381221736 10.2811493217 17.541 13.926
184169 253.773605 -3.447196 None None 3098334 16550566-0326499 None 7.76818168448e-05 0.04207 177.792022254 4.26700853409 15.749 13.208
254701 253.725739 -3.477756 None None None 16545417-0328399 None 2.40655079309e-06 0.02491 103.934364935 2.49442475845 14.933 12.197
313271 253.726 -3.47785 None None 160997 None None 1.98891734907e-05 0.0320212360106 134.320406884 3.22368976521 16.23 nan
430837 253.615189 -3.62672 None None None 16542764-0337361 None 1.35702544877e-09 0.061934 265.539798351 6.37295516042 16.133 13.088
1083796 253.655289 -3.708103 None None None 16543726-0342291 None 0.0 0.133045 598.71950431 14.3692681034 18.087 13.558
161884 253.481308 -3.792044 None None 1066800 16535551-0347313 None 0.00015370498198 0.038814 163.63824272 3.92731782528 15.368 12.189
789774 253.869293 -3.714916 None None 1067786 16552863-0342536 None 0.0 0.128944 578.721187533 13.8893085008 17.787 13.13
