# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae26547.i.ut190429.5091_stch_1.sw.dcmp, DB ID=14809, Field
#       Name=s005aae26547, RA (deg)=256.1593, Dec (deg)=-4.5026, MJD=58603.16745, Exp
#       Time (sec)=180.0, Lim Mag=22.0688, Instrument=SWOPE, E(B-V)=0.770045382857,
#     Filter=SDSS i, A_lambda=1.307537060091186, Net 2D Prob=9.45715780031e-05, Redistributed
#       2D Prob=5.0286270329155964e-05, Net 4D Prob=0.0002814222218249851, Weighted
#       Mean Pixel Comp=0.46171826982663067, Weighted Mean Pixel Dist=154.0609229433783]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
12384 255.861526 -4.282007 None None None 17032676-0416552 None 1.18174880535e-06 0.022737 94.7120774293 2.2730898583 14.504 10.953
35905 255.894684 -4.367559 None None 161042 17033472-0422032 None 9.29401285339e-06 0.048018 203.815513196 4.8915723167 15.447 11.821
255798 255.923401 -4.466999 None None None 17034161-0428011 None 4.62651705769e-06 0.048859 207.512448513 4.98029876431 15.807 12.144
313281 255.862 -4.282 None None 161039 None None 9.22907576807e-06 0.0299315249658 125.35853809 3.00860491415 16.27 nan
326393 255.884 -4.27808 None None 1060476 None None 7.03801293565e-07 0.0288724944362 120.827162359 2.89985189662 18.59 nan
1078501 256.076447 -4.309706 None None None 17041834-0418349 None 0.0 0.109998 487.554901233 11.7013176296 17.076 13.631
1088066 255.8685 -4.393395 None None None 17032844-0423362 None 0.0 0.149713 680.955213552 16.3429251253 17.662 13.146
1088067 255.884094 -4.278116 None None None 17033218-0416412 None 2.94891439771e-19 0.079173 343.612620062 8.24670288148 16.935 12.958
253212 256.323242 -4.216381 None None None 17051757-0412589 None 8.7546012917e-06 0.046855 198.710203256 4.76904487815 15.835 12.294
253214 256.311005 -4.216382 None None None 17051464-0412589 None 3.16593992552e-06 0.046658 197.846233995 4.74830961589 17.021 13.628
430570 256.242096 -4.235497 None None None 17045810-0414077 None 7.82214110366e-08 0.055144 235.276566673 5.64663760015 16.262 13.157
1078500 256.157532 -4.362465 None None None 17043780-0421448 None 2.77144777604e-18 0.077288 334.989929764 8.03975831433 17.337 13.343
1078530 256.200867 -4.403555 None None None 17044820-0424127 None 0.0 0.147581 670.351568532 16.0884376448 18.083 13.908
1078494 256.048309 -4.536438 None None None 17041159-0432111 None 0.0 0.094143 412.830297093 9.90792713024 17.696 13.978
1078531 256.200897 -4.488277 None None None 17044821-0429177 None 0.0 0.085914 374.61935563 8.99086453512 17.684 14.041
430569 255.995102 -4.65839 None None None 17035882-0439302 None 1.00940836031e-09 0.060761 260.291878367 6.24700508081 16.56 13.41
431033 255.885239 -4.640338 None None None 17033245-0438252 None 1.3240101442e-09 0.059482 254.579142927 6.10989943025 17.421 13.688
1078493 256.003998 -4.607277 None None None 17040095-0436261 None 0.0 0.100339 441.860136402 10.6046432736 17.033 13.548
1088065 255.874649 -4.550061 None None None 17032991-0433002 None 0.0 0.083185 362.034601464 8.68883043514 17.035 13.339
31621 256.261627 -4.596051 None None None 17050279-0435457 None 0.000164791872479 0.038696 163.12652175 3.91503652199 14.927 11.74
326230 256.262 -4.59603 None None 1056068 None None 2.9307827192e-05 0.0391816095908 165.232974222 3.96559138133 16.72 nan
