# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae29437.i.ut190425.1054_stch_1.sw.dcmp, DB ID=14824, Field
#       Name=s005aae29437, RA (deg)=253.7578, Dec (deg)=-9.9663, MJD=58599.14778, Exp
#       Time (sec)=180.0, Lim Mag=21.459, Instrument=SWOPE, E(B-V)=1.26149563766, Filter=SDSS
#       i, A_lambda=2.1420195927466796, Net 2D Prob=0.0001140533315425, Redistributed
#       2D Prob=6.190208989115152e-05, Net 4D Prob=0.0003981432420378065, Weighted Mean
#       Pixel Comp=0.4583420371041454, Weighted Mean Pixel Dist=147.6357205433982]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
19168 253.721725 -9.777371 None None None 16545321-0946385 None 0.000144643062445 0.035581 149.648965906 3.59157518175 15.295 11.399
256474 253.720581 -9.717927 None None None 16545293-0943045 None 2.42831173415e-07 0.020457 85.0674403002 2.04161856721 15.122 12.923
324537 253.722 -9.77736 None None 986562 None None 5.93224257544e-06 0.0311688455844 130.661601608 3.1358784386 17.65 nan
324552 253.72 -9.71795 None None 987383 None None 2.42600393548e-06 0.0299315249658 125.35853809 3.00860491415 18.15 nan
6037 253.600113 -9.889244 59239 PGC059239 PGC059239 16542402-0953212 None 5.2792708768e-08 0.016766 69.5232693876 1.6685584653 13.627 10.498
256469 253.633331 -9.776457 None None None 16543199-0946352 None 0.000158649459849 0.035417 148.941051019 3.57458522445 15.214 12.125
1090642 253.593903 -9.895634 None None None 16542253-0953442 None 2.76081503962e-12 0.063473 272.437697031 6.53850472875 16.766 13.796
1090657 253.736389 -9.860425 None None None 16545673-0951375 None 0.0 0.101553 447.573956263 10.7417749503 18.05 14.027
1090690 254.121964 -9.937283 None None None 16562927-0956142 None 0.0 0.086067 375.326203359 9.00782888061 16.725 13.801
431182 253.590866 -10.209802 None None None 16542180-1012352 None 1.0285436958e-11 0.061502 263.606099614 6.32654639074 17.411 13.877
256484 253.981995 -10.223521 None None None 16555567-1013246 None 2.42947464133e-05 0.03106 130.194716555 3.12467319733 16.161 13.005
1090689 254.054031 -10.277016 None None None 16561296-1016372 None 0.0 0.155843 711.580712682 17.0779371044 18.282 14.11
