# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae32029.i.ut190425.1086_stch_1.sw.dcmp, DB ID=14836, Field
#       Name=s005aae32029, RA (deg)=252.9701, Dec (deg)=-14.9294, MJD=58599.26722, Exp
#       Time (sec)=180.0, Lim Mag=21.804, Instrument=SWOPE, E(B-V)=1.65163528848, Filter=SDSS
#       i, A_lambda=2.80447671983904, Net 2D Prob=6.717317306519999e-05, Redistributed
#       2D Prob=5.2405509531298045e-05, Net 4D Prob=6.0737291769288497e-05, Weighted
#       Mean Pixel Comp=0.2183910218173777, Weighted Mean Pixel Dist=139.7297279122072]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
21306 252.833984 -14.744035 None None None 16512015-1444385 None 9.43605445481e-11 0.012267 50.6923326084 1.2166159826 14.539 11.51
221557 252.997009 -14.711534 None None None 16515928-1442415 None 6.74714925078e-10 0.015004 62.133058568 1.49119340563 15.825 13.045
344169 252.834 -14.74407 None None 3082692 None None 1.39600479326e-06 0.0277244238622 115.92267845 2.78214428279 18.02 nan
3187 252.722595 -15.003985 None None None 16505342-1500143 None 8.92690413706e-15 0.004649 19.0988156354 0.458371575249 12.812 10.05
19909 252.803558 -14.886542 None None None 16511285-1453115 None 3.23622191673e-09 0.015175 62.8494123055 1.50838589533 14.619 11.457
323855 252.723 -15.00391 None None 917034 None None 3.4787372335e-06 0.0265015932508 110.70784679 2.65698832297 16.48 nan
323865 252.804 -14.88653 None None 918649 None None 3.25003135315e-06 0.0284846242423 119.169288789 2.86006293093 17.54 nan
427019 252.772232 -14.911824 None None None 16510533-1454425 None 9.18946236582e-10 0.053321 227.198770855 5.45277050053 16.223 13.577
221556 253.074036 -14.90708 None None None 16521776-1454254 None 4.93594510987e-09 0.016099 66.7234254272 1.60136221025 14.91 11.821
394640 253.074 -14.90711 None None 6dFJ1652178-145425 None None 1.9483263497e-07 0.0265015932508 110.70784679 2.65698832297 19.51 nan
427024 253.136353 -14.818323 None None None 16523272-1449059 None 2.31378613422e-09 0.052547 223.775226324 5.37060543178 16.376 13.684
221549 252.975372 -14.987067 None None None 16515408-1459134 None 1.31827190308e-12 0.009805 40.4415913129 0.970598191509 16.101 14.169
427023 253.023468 -15.131255 None None None 16520563-1507525 None 9.21044617554e-13 0.059587 255.047761527 6.12114627664 15.853 13.538
