# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae32806.i.ut190603.4057_stch_1.sw.dcmp, DB ID=14844, Field
#       Name=s005aae32806, RA (deg)=253.0539, Dec (deg)=-16.4309, MJD=58638.03163, Exp
#       Time (sec)=360.0, Lim Mag=22.2119, Instrument=SWOPE, E(B-V)=1.41073189473, Filter=SDSS
#       i, A_lambda=2.39542275725154, Net 2D Prob=9.13407852385e-05, Redistributed 2D
#       Prob=7.16839021007998e-05, Net 4D Prob=0.00015355504407505626, Weighted Mean
#       Pixel Comp=0.21324232093857842, Weighted Mean Pixel Dist=139.07229883014782]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
5392 253.270233 -16.290932 None None None 16530485-1617273 None 1.8219346313e-07 0.018803 78.0912477079 1.87418994499 13.704 10.422
221565 253.354767 -16.34952 None None None 16532514-1620582 None 1.86786058834e-15 0.005663 23.2828130652 0.558787513564 15.147 12.279
221566 253.341415 -16.287025 None None None 16532193-1617132 None 6.02485778148e-05 0.029707 124.397259557 2.98553422936 14.967 12.125
221567 253.31308 -16.356201 None None None 16531513-1621223 None 2.80194938679e-07 0.021274 88.519691237 2.12447258969 15.512 13.253
221568 253.301193 -16.316204 None None None 16531228-1618583 None 1.5771899484e-05 0.040085 169.155512181 4.05973229235 15.67 12.551
323704 253.355 -16.34948 None None 899284 None None 7.62454144379e-07 0.0267418333709 111.731629476 2.68155910742 18.27 nan
323706 253.301 -16.31615 None None 899699 None None 6.28367521332e-07 0.0267418333709 111.731629476 2.68155910742 18.48 nan
323709 253.27 -16.29092 None None 900018 None None 3.99745139141e-06 0.0278497939249 116.457852503 2.79498846008 17.06 nan
977817 253.128342 -16.346935 None None None 16523080-1620489 None 0.0 0.107733 476.791784638 11.4430028313 17.224 13.26
221551 252.996567 -16.704866 None None None 16515917-1642175 None 3.21465861107e-12 0.010486 43.2731498136 1.03855559553 15.551 13.741
977804 252.942551 -16.540407 None None None 16514621-1632254 None 0.0 0.112412 499.05818996 11.977396559 17.79 13.326
977818 253.180771 -16.605268 None None None 16524338-1636189 None 0.0 0.118401 527.739817752 12.6657556261 17.254 13.873
977822 253.302124 -16.543705 None None None 16531250-1632373 None 0.0 0.086764 378.548018237 9.08515243768 17.125 13.933
977835 253.434219 -16.682426 None None None 16534421-1640567 None 0.0 0.183634 852.949420477 20.4707860915 18.974 14.08
