# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae15132.r.ut190425.1110_stch_1.sw.dcmp, DB ID=5119, Field
#       Name=s005aae15132, RA (deg)=244.8267, Dec (deg)=18.349, MJD=58599.37584, Exp
#       Time (sec)=180.0, Lim Mag=21.9133, Instrument=SWOPE, E(B-V)=0.103787096962,
#     Filter=SDSS r, A_lambda=0.23715351655817002, Net 2D Prob=0.0001282346157952, Redistributed
#       2D Prob=3.043057156585106e-06, Net 4D Prob=0.0007027192595301797, Weighted Mean
#       Pixel Comp=0.9749002209833809, Weighted Mean Pixel Dist=184.91376915325907]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
56530 244.873795 18.48033 None None 57825 16192971+1828491 None 0.000399238296208 0.044337 187.685023235 4.50444055764 15.239 12.682
56762 244.873505 18.464497 None None 1560351 16192964+1827521 None 0.000132585157515 0.046731 198.166357436 4.75599257846 16.144 12.463
62530 244.891068 18.578665 None None 57833 16193385+1834431 None 6.03432274759e-05 0.035832 150.73274247 3.61758581928 15.227 12.823
361243 244.838 18.65073 None None SDSSJ161921.00+183902.6 None None 4.68035696775e-06 0.0347174273587 145.923172933 3.50215615039 17.59 nan
379576 244.786 18.51088 None None SDSSJ161908.64+183039.2 None None 4.8960347143e-06 0.0350303275152 147.272615588 3.5345427741 17.66 nan
474279 244.805923 18.450752 None None 1559969 16191342+1827027 None 0.0 0.15282 696.452340544 16.7148561731 17.997 13.841
622098 244.834274 18.408379 None None 1558758 16192022+1824301 None 0.0 0.166468 765.143186956 18.363436487 18.23 13.413
622125 244.922989 18.425327 None None 1559234 16194151+1825311 None 0.0 0.138865509433 627.262897729 15.0543095455 18.3 14.13
1127510 244.801819 18.425755 None None 1559244 16191243+1825327 None 0.0 0.139452669726 630.152674042 15.123664177 18.69 14.229
1224644 244.956 18.45871 None None 1560176 None None 3.02901621038e-18 0.0913292556646 399.720512061 9.59329228947 18.26 nan
32771 245.077652 18.464619 None None 57866 16201863+1827526 None 9.79299193358e-05 0.038704 163.16121199 3.91586908776 15.643 11.601
622015 245.154114 18.346033 None None 1557035 16203698+1820457 None 0.0 0.174090507045 803.941053995 19.2945852959 18.52 14.153
622033 245.167862 18.364923 None None 1557548 16204028+1821537 None 7.82893337929e-19 0.0925224762612 405.274351164 9.72658442793 18.24 14.099
622043 244.910385 18.368664 None None 1557657 16193849+1822071 None 0.0 0.227386853693 1083.64901378 26.0075763307 18.31 14.111
1224526 244.855 18.35248 None None 1557229 None None 3.2101568408e-09 0.0694048247024 299.157044441 7.17976906659 18.12 nan
