# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae15411.i.ut190603.4083_stch_1.sw.dcmp, DB ID=5124, Field
#       Name=s005aae15411, RA (deg)=241.1914, Dec (deg)=17.8576, MJD=58638.14853, Exp
#       Time (sec)=360.0, Lim Mag=22.0538, Instrument=SWOPE, E(B-V)=0.0813019755185,
#     Filter=SDSS i, A_lambda=0.138050754430413, Net 2D Prob=1.095658738192e-05, Redistributed
#       2D Prob=0.0, Net 4D Prob=0.0003255693251477394, Weighted Mean Pixel Comp=1.0,
#     Weighted Mean Pixel Dist=175.501294368]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
62391 241.166382 18.032318 None None 56973 16043993+1801563 None 5.45475092015e-06 0.047785 202.792035038 4.8670088409 16.384 12.353
142008 241.109558 17.987274 None None 84712 16042629+1759141 None 1.02690954927e-05 0.044302 187.532047072 4.50076912974 16.226 12.875
268193 241.231537 18.00621 None None SDSSJ160455.58+180022.1 16045556+1800223 None 8.46989847235e-07 0.0384865092433 162.218251319 3.89323803166 18.57 14.53
301821 241.163 18.03597 None None 1548401 None None 1.42609631643e-06 0.0376347488174 158.528131168 3.80467514802 17.8 nan
454311 241.075912 18.103203 None None 1550249 16041821+1806115 None 3.03893832263e-13 0.079666 345.871238669 8.30090972805 17.403 13.411
478086 241.218094 18.104546 None None 84717 16045234+1806163 None 8.63654609567e-12 0.075989 329.060021207 7.89744050896 16.947 13.545
621442 241.154541 17.912003 None None 1545104 16043708+1754432 None 0.0 0.116189488095 517.125156344 12.4110037523 17.83 14.213
1224161 241.138 17.95008 None None 1546119 None None 0.0 0.114710247355 510.040620625 12.240974895 18.71 nan
1224223 241.093 18.02593 None None 1548121 None None 0.0 0.112284326142 498.448964356 11.9627751446 18.34 nan
1408376 241.17 18.14292 None None SDSSJ160440.65+180834.3 None None 4.19262380952e-17 0.0882183141092 385.279576484 9.24670983562 18.42 nan
1408380 241.214 17.95149 None None SDSSJ160451.25+175705.5 None None 0.0 0.116189488095 517.125156344 12.4110037523 18.58 nan
62380 241.042587 17.980705 None None 56922 16041022+1758505 None 2.22468326004e-06 0.034227 143.809326824 3.45142384379 16.363 12.743
62383 241.095703 17.878199 None None 56936 16042296+1752415 None 1.55480290883e-06 0.054472 232.296564415 5.57511754595 16.052 12.557
69786 241.033005 17.830639 None None 1542877 16040792+1749503 None 2.72333441903e-06 0.049202 209.021471371 5.01651531291 16.856 13.551
334397 241.039 17.97713 None None 1546817 None None 9.08444541672e-07 0.0369665284833 155.63629758 3.73527114193 18.12 nan
362288 240.894 17.84233 None None SDSSJ160334.45+175032.4 None None 5.61051226729e-07 0.0368012584006 154.921488492 3.7181157238 18.6 nan
495490 240.884796 17.91873 None None 1545287 16033235+1755074 None 0.0 0.138865509433 627.262897729 15.0543095455 18.06 14.108
495491 240.938812 17.920128 None None 1545316 16034531+1755124 None 1.77822299595e-17 0.09031 394.982942474 9.47959061938 16.976 12.856
495501 241.115707 17.924498 None None 1545416 16042776+1755281 None 0.0 0.127638 572.372190925 13.7369325822 17.73 13.788
10800 241.380264 17.963573 None None NGC6056 16053126+1757488 None 9.2508610411e-06 0.03305 138.742273745 3.32981456989 14.433 10.716
18545 241.403366 17.802189 None None IC1182 16053680+1748078 None 3.51404862987e-06 0.031396 131.636200251 3.15926880603 14.898 11.14
23033 241.248703 17.870241 None None NGC6044 16045968+1752128 None 1.72894813697e-06 0.029227 122.343243493 2.93623784383 14.812 11.311
53196 241.377701 17.768572 None None 57073 16053064+1746068 None 2.01821421863e-05 0.0436 184.465364644 4.42716875146 15.572 12.508
62400 241.256882 17.831354 None None 57020 16050165+1749528 None 3.13028640123e-06 0.035338 148.600102491 3.56640245979 16.328 12.049
62407 241.341705 17.970186 None None 57052 16052200+1758126 None 4.55895026693e-06 0.038377 161.743569313 3.88184566352 16.717 13.132
62408 241.343811 17.854948 None None 57055 16052251+1751178 None 1.45076500337e-05 0.043149 182.496765116 4.37992236277 15.977 12.395
62409 241.361008 17.909956 None None 57060 16052664+1754358 None 5.84550421971e-06 0.034832 146.417219505 3.51401326812 15.5 12.117
