# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae16234.r.ut190428.4151_stch_1.sw.dcmp, DB ID=5132, Field
#       Name=s005aae16234, RA (deg)=247.3724, Dec (deg)=15.8594, MJD=58602.40038, Exp
#       Time (sec)=180.0, Lim Mag=22.367, Instrument=SWOPE, E(B-V)=0.128299244177, Filter=SDSS
#       r, A_lambda=0.293163772944445, Net 2D Prob=0.0001580376653365, Redistributed
#       2D Prob=6.571677373632309e-05, Net 4D Prob=0.00019915109422106214, Weighted
#       Mean Pixel Comp=0.5886425943355913, Weighted Mean Pixel Dist=184.2440786382385]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
69406 247.420273 16.082296 None None 1500266 16294086+1604562 None 0.000105707183351 0.040636 171.550426088 4.1172102261 16.346 12.609
361906 247.415 15.96938 None None SDSSJ162939.56+155809.8 None None 1.21156398212e-05 0.0342531171266 143.921859717 3.45412463322 16.64 nan
1430361 247.319 16.03721 None None SDSSJ162916.66+160213.8 None None 2.87249495484e-17 0.0889864944932 388.840217617 9.33216522281 18.19 nan
1430362 247.421 16.04737 None None SDSSJ162940.93+160250.3 None None 0.0 0.19225971613 897.654724046 21.5437133771 18.86 nan
463287 247.007812 15.878929 None None 1495446 16280187+1552441 None 0.0 0.172435 795.488459621 19.0917230309 17.98 13.645
1222377 247.21 15.78535 None None 1493286 None None 0.0 0.134250547125 604.616046315 14.5107851116 19.01 nan
1222406 247.044 15.81685 None None 1493997 None None 0.0 0.131996825998 593.599249797 14.2463819951 18.75 nan
1409550 247.157 15.80904 None None SDSSJ162837.61+154832.7 None None 0.0 0.130883615442 588.167974286 14.1160313829 19.12 nan
1412515 247.122 15.86587 None None SDSSJ162829.34+155157.3 None None 0.0 0.13311927656 599.082571153 14.3779817077 18.88 nan
361379 247.494 15.79317 None None SDSSJ162958.44+154735.4 None None 9.60505572792e-06 0.0523372761686 222.848204341 5.34835690418 17.99 nan
462821 247.599716 15.818848 None None 1494047 16302393+1549078 None 4.95080742659e-15 0.085473 372.582736634 8.94198567921 16.953 13.855
1409618 247.601 15.82654 None None SDSSJ163024.26+154935.2 None None 3.87359577314e-17 0.0886017743009 387.056547038 9.28935712891 18.35 nan
6736 247.400574 15.65844 None None UGC10412 16293613+1539303 None 1.10287143524e-06 0.024566 102.472451499 2.45933883598 14.261 10.344
125630 247.28801 15.791201 None None 1493424 16290912+1547283 None 4.35619160667e-06 0.057101 243.970478547 5.85529148513 17.206 13.336
361364 247.225 15.76069 None None SDSSJ162853.98+154538.3 None None 5.47124368923e-07 0.0597635098818 255.835680631 6.14005633516 18.3 nan
1412704 247.356 15.59595 None None SDSSJ162925.41+153545.3 None None 2.54168767757e-10 0.0718807259404 310.371535018 7.44891684043 18.96 nan
