# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae1892.i.ut190425.1088_stch_1.sw.dcmp, DB ID=5137, Field
#       Name=s005aae1892, RA (deg)=233.8778, Dec (deg)=27.2987, MJD=58599.27453, Exp
#       Time (sec)=180.0, Lim Mag=21.778, Instrument=SWOPE, E(B-V)=0.058574072063, Filter=SDSS
#       i, A_lambda=0.099458774362974, Net 2D Prob=0.00012795965724649998, Redistributed
#       2D Prob=1.4513428633829846e-05, Net 4D Prob=0.0005903688953261295, Weighted
#       Mean Pixel Comp=0.8774155124560075, Weighted Mean Pixel Dist=181.48714492465078]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
13997 233.811447 27.324848 None None 55513 15351474+2719294 None 5.82387569109e-06 0.028576 119.559771962 2.8694345271 14.691 10.913
62201 233.81427 27.350403 None None 55512 15351542+2721014 None 9.58346541955e-05 0.039179 165.221650597 3.96531961432 15.52 12.215
361800 233.808 27.32214 None None SDSSJ153513.90+271919.6 None None 8.68950193363e-07 0.0334927067464 140.647146533 3.3755315168 18.86 nan
403198 233.866 27.38261 None None SDSSJ153527.84+272257.2 None None 2.4500952056e-06 0.0350303275152 147.272615588 3.5345427741 18.28 nan
1155332 233.754 27.38273 None None 1806402 None None 4.23923097931e-09 0.0691009545505 297.783189076 7.14679653782 17.79 nan
1233130 233.797 27.33572 None None 1804942 None None 7.7529725418e-19 0.0937303968652 410.905025891 9.86172062138 17.93 nan
1233250 233.66 27.45717 None None 1808739 None None 0.0 0.189114754557 881.310212821 21.1514451077 18.99 nan
1233261 233.803 27.46653 None None 1809030 None None 0.0 0.196258328129 918.509614588 22.0442307501 18.6 nan
2422758 233.74 27.47438 None None SDSSJ153457.61+272827.7 None None 0.0 0.144842322421 656.766948256 15.7624067581 19.09 nan
379474 234.154 27.52634 None None SDSSJ153636.92+273134.9 None None 2.61653972866e-06 0.0330445665223 138.718902182 3.32925365238 17.55 nan
634175 234.168747 27.39595 None None 1806838 15364049+2723454 None 0.0 0.143024771512 647.774019205 15.5465764609 18.67 14.249
1143336 234.057892 27.39325 None None SDSSJ153613.88+272335.6 15361389+2723357 None 0.0 0.109436724718 484.885037977 11.6372409114 18.59 14.334
62194 233.508957 27.340725 None None 55456 15340214+2720266 None 1.34288755029e-06 0.026547 110.901319978 2.66163167948 15.25 12.458
71693 233.671249 27.189848 None None 1800446 15344109+2711234 None 6.52323103209e-05 0.043217 182.793503066 4.38704407359 16.724 13.185
71733 233.542114 27.357382 None None 1805628 15341010+2721265 None 2.4458301401e-05 0.049097 208.559449575 5.00542678981 16.969 13.18
336637 233.594 27.26265 None None 1802696 None None 1.26901097786e-06 0.0330445665223 138.718902182 3.32925365238 18.28 nan
369336 233.635 27.24011 None None SDSSJ153432.45+271424.4 None None 2.10117502177e-06 0.0347174273587 145.923172933 3.50215615039 18.34 nan
403176 233.649 27.17489 None None SDSSJ153435.68+271029.7 None None 7.93351010191e-07 0.0330445665223 138.718902182 3.32925365238 18.79 nan
1233153 233.624 27.3558 None None 1805574 None None 0.0 0.21654034827 1025.55192577 24.6132462185 18.79 nan
2186453 233.557 27.24888 None None SDSSJ153413.60+271455.7 None None 2.44964088125e-09 0.0694048247024 299.157044441 7.17976906659 18.18 nan
14652 234.063187 27.30464 None None 55570 15361516+2718167 None 0.000112550137393 0.037633 158.520559282 3.80449342277 14.932 10.952
71699 233.933578 27.230257 None None 1801672 15354405+2713489 None 4.00782872693e-05 0.050019 212.618731566 5.10284955758 16.241 13.287
71704 233.972321 27.247192 None None 1802194 15355335+2714498 None 2.84290442483e-06 0.029258 122.475855459 2.93942053101 15.795 12.099
71736 233.92453 27.375259 None None 1806122 15354188+2722309 None 8.45513249673e-05 0.039914 168.412642192 4.0419034126 15.836 12.273
403190 233.803 27.29161 None None SDSSJ153512.68+271729.9 None None 5.56351770631e-07 0.0308895454448 129.463712031 3.10712908873 18.3 nan
54133 233.729019 27.127884 None None 1798588 15345496+2707403 None 6.23029259823e-05 0.048106 204.20214892 4.90085157409 16.14 12.323
62202 233.927002 27.118315 None None 55534 15354248+2707059 None 3.35471159871e-05 0.03664 154.224192609 3.70138062262 15.955 12.069
296203 233.866 27.15023 None None 1799223 None None 2.51494678083e-06 0.0314502457251 131.868987095 3.16485569028 16.9 nan
336582 233.745 27.08206 None None 1797231 None None 3.02412972705e-06 0.0333427666714 140.001850539 3.36004441294 17.45 nan
2422728 233.679 27.05107 None None SDSSJ153442.94+270303.7 None None 1.00684567499e-09 0.0709426554713 306.118297533 7.3468391408 18.07 nan
2422742 233.708 27.16977 None None SDSSJ153449.82+271011.0 None None 8.45356168665e-10 0.0703233651617 303.313283092 7.2795187942 18.7 nan
2422792 233.811 27.1091 None None SDSSJ153514.54+270632.6 None None 3.25727810477e-19 0.0941363270682 412.799152297 9.90717965513 18.35 nan
2422841 233.931 27.14234 None None SDSSJ153543.51+270832.3 None None 0.0 0.125446712723 561.740835003 13.4817800401 18.97 nan
71687 234.163498 27.154837 None None 1799376 15363923+2709174 None 2.81046446146e-05 0.037746 159.009856083 3.81623654599 16.442 12.518
336609 234.215 27.17151 None None 1799898 None None 8.85002704479e-07 0.0323104061552 135.56266519 3.25350396456 18.37 nan
403224 234.136 27.25754 None None SDSSJ153632.71+271526.9 None None 2.09800270095e-06 0.0339469369735 142.60286254 3.42246870095 18.05 nan
2422939 234.108 27.18891 None None SDSSJ153626.00+271120.1 None None 4.44370963108e-19 0.0937303968652 410.905025891 9.86172062138 18.67 nan
