# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae24707.r.ut190705.1092_stch_1.sw.dcmp, DB ID=5178, Field
#       Name=s005aae24707, RA (deg)=260.0087, Dec (deg)=-1.0235, MJD=58670.1902, Exp
#       Time (sec)=360.0, Lim Mag=23.1982, Instrument=SWOPE, E(B-V)=0.962738039792,
#     Filter=SDSS r, A_lambda=2.19985642092472, Net 2D Prob=1.82052469682e-05, Redistributed
#       2D Prob=9.503861966615892e-06, Net 4D Prob=0.0001486466072216356, Weighted Mean
#       Pixel Comp=0.44788504218367675, Weighted Mean Pixel Dist=151.79436952374647]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
18475 260.031158 -0.854489 None None None 17200747-0051161 None 3.82307074726e-05 0.0347 145.848031847 3.50035276432 14.988 11.268
328255 260.031 -0.85441 None None 1133027 None None 1.84768744186e-06 0.0304754252377 127.688483726 3.06452360942 17.04 nan
432154 259.899933 -0.92405 None None None 17193598-0055265 None 6.66245790475e-09 0.056697 242.173827252 5.81217185406 17.322 13.87
11226 259.740112 -1.12965 None None None 17185762-0107467 None 1.1456486739e-05 0.028492 119.200806265 2.86081935035 14.411 10.866
32888 259.906891 -1.018494 None None None 17193765-0101065 None 1.06288851453e-09 0.061272 262.577041067 6.30184898561 15.841 11.729
327947 259.74 -1.12964 None None 1126051 None None 3.21878665249e-06 0.0300667650334 125.937704377 3.02250490506 16.37 nan
328060 259.907 -1.01902 None None 1128817 None None 2.70039722391e-06 0.0336434868217 141.296197875 3.39110874901 17.64 nan
432152 259.833893 -1.051538 None None None 17192013-0103055 None 2.73414485374e-09 0.059486 254.596993849 6.11032785238 16.201 13.579
11156 260.198975 -1.111755 None None None 17204775-0106423 None 1.48041063792e-05 0.02977 124.666955414 2.99200692993 14.529 10.876
12325 260.117279 -0.979755 None None None 17202814-0058471 None 3.26898255103e-06 0.026691 111.514973194 2.67635935664 14.909 10.96
21677 260.205627 -1.015088 None None 3082702 17204935-0100543 None 1.63085872656e-06 0.025649 107.077426599 2.56985823837 15.176 11.405
34015 260.193695 -1.043144 None None None 17204648-0102353 None 9.3795638104e-07 0.02449 102.149570277 2.45158968666 15.196 11.776
132495 260.1698 -1.149258 None None 3097189 17204075-0108573 None 2.26499623571e-07 0.023143 96.4329133277 2.31438991987 16.013 12.205
246787 260.148682 -0.930649 None None None 17203568-0055503 None 1.98962987299e-06 0.044708 189.307031048 4.54336874516 16.895 13.764
246788 260.233704 -1.052584 None None None 17205608-0103093 None 9.24520054532e-06 0.030735 128.801090456 3.09122617094 15.381 11.905
246791 260.218414 -0.999531 None None None 17205241-0059583 None 1.72975970919e-05 0.034123 143.361255766 3.44067013838 15.706 12.187
246792 260.166443 -0.933147 None None None 17203994-0055593 None 1.07917969459e-05 0.040167 169.511805957 4.06828334296 16.155 12.671
246793 260.230072 -1.037307 None None None 17205521-0102143 None 2.88539774322e-08 0.020631 85.8023302999 2.0592559272 16.746 13.394
246794 260.190369 -1.130923 None None None 17204568-0107513 None 3.9688358427e-06 0.041817 176.689903809 4.24055769141 16.907 13.601
313295 260.234 -1.0525 None None 161104 None None 5.4860021503e-07 0.0273518836759 114.332973036 2.74399135286 17.14 nan
327965 260.199 -1.11183 None None 1126470 None None 1.62209141834e-06 0.0288724944362 120.827162359 2.89985189662 16.59 nan
328042 260.194 -1.04315 None None 1128224 None None 1.42767221365e-06 0.0304754252377 127.688483726 3.06452360942 17.32 nan
328078 260.219 -0.99939 None None 1129352 None None 3.0426778539e-07 0.0273518836759 114.332973036 2.74399135286 17.78 nan
381460 260.117 -0.97958 None None 3C353 None None 1.84331866649e-06 0.0306127653064 128.277107843 3.07865058822 17.09 nan
429778 260.22229 -1.006197 None None None 17205334-0100223 None 4.95885073003e-09 0.057369 245.16285971 5.88390863303 17.19 13.811
432155 260.130371 -1.17142 None None None 17203128-0110171 None 6.144541268e-08 0.054622 232.961506746 5.5910761619 16.219 12.129
432158 260.020599 -1.052823 None None None 17200494-0103101 None 1.00903938357e-09 0.059711 255.601263186 6.13443031647 17.231 13.524
432159 260.074768 -1.025039 None None None 17201794-0101301 None 4.92988242714e-10 0.061621 264.138650221 6.3393276053 16.505 13.161
1060436 260.178711 -1.165924 None None None 17204289-0109573 None 1.31077407841e-13 0.070286 303.144114201 7.27545874082 17.177 13.84
1060437 260.25119 -1.008415 None None None 17210028-0100302 None 4.72136837246e-14 0.07172 309.642428203 7.43141827687 16.689 13.763
1112187 260.123657 -0.960865 None None None 17202967-0057391 None 3.99585968971e-12 0.066527 286.16791482 6.86802995567 17.344 13.923
1198845 260.13 -1.17143 None None 1125036 None None 2.50574550758e-11 0.0635666117833 272.857729161 6.54858549986 18.09 nan
246780 259.941345 -1.196268 None None None 17194592-0111465 None 1.00913039457e-05 0.032311 135.565216846 3.2535652043 15.844 12.254
246781 259.996094 -1.145149 None None None 17195906-0108425 None 1.35843398663e-07 0.053111 226.269543397 5.43046904153 16.106 12.741
263850 260.068115 -1.193373 None None None 17201634-0111361 None 1.08557530929e-06 0.047313 200.719736823 4.81727368374 16.554 13.565
327930 260.017 -1.14226 None None 1125734 None None 2.54552537177e-07 0.0474661137331 201.39182812 4.83340387487 18.07 nan
429773 260.001099 -1.123482 None None None 17200026-0107245 None 1.0866859496e-08 0.056892 243.040899864 5.83298159672 16.54 12.835
429774 259.9133 -1.118771 None None None 17193919-0107075 None 1.12086671854e-09 0.06027 258.097632409 6.1943431778 16.573 13.022
429775 259.98996 -1.130428 None None None 17195759-0107495 None 8.96510617464e-08 0.053311 227.154515872 5.45170838093 16.446 14.038
432157 260.017548 -1.142268 None None None 17200421-0108321 None 5.0637009747e-09 0.058284 249.237125383 5.98169100918 16.409 12.638
1060424 259.980835 -1.318485 None None None 17195540-0119065 None 0.0 0.133299 599.961193156 14.3990686357 17.377 13.387
1060425 259.946381 -1.263767 None None None 17194713-0115495 None 1.70517370563e-17 0.078007 338.276431806 8.11863436334 17.521 13.565
1060426 259.929138 -1.256269 None None None 17194299-0115225 None 3.8794918474e-11 0.064051 275.03199706 6.60076792944 17.082 13.548
1112186 260.087311 -1.221982 None None None 17202095-0113191 None 1.62035725528e-19 0.082091 357.001884531 8.56804522875 16.92 12.971
