# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae25247.i.ut190429.5101_stch_1.sw.dcmp, DB ID=5183, Field
#       Name=s005aae25247, RA (deg)=254.1346, Dec (deg)=-2.0151, MJD=58603.18876, Exp
#       Time (sec)=180.0, Lim Mag=22.0479, Instrument=SWOPE, E(B-V)=0.378314706177,
#     Filter=SDSS i, A_lambda=0.642378371088546, Net 2D Prob=0.00015826874953840003,
#     Redistributed 2D Prob=7.365655191197761e-05, Net 4D Prob=0.0015441530728856293,
#     Weighted Mean Pixel Comp=0.5336730086587372, Weighted Mean Pixel Dist=161.25444821210857]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
254703 254.030533 -1.808806 None None None 16560732-0148317 None 3.8316968544e-05 0.041647 175.949570366 4.22278968878 16.851 13.88
11173 254.434494 -1.799086 None None None 16574427-0147567 None 0.000281475718525 0.03685 155.132283118 3.72317479482 14.843 10.809
19554 254.398376 -1.796031 None None None 16573561-0147457 None 0.000219897291396 0.040376 170.420107356 4.09008257654 15.179 11.248
22399 254.349258 -1.797175 None None None 16572382-0147498 None 1.85430053233e-05 0.029817 124.868173139 2.99683615533 15.252 11.354
122538 254.286987 -1.707471 None None 1112190 16570887-0142268 None 1.49607373644e-05 0.047787 202.800818851 4.86721965241 16.079 12.45
240124 254.295624 -1.820246 None None None 16571094-0149128 None 0.000191047977794 0.038798 163.568851806 3.92565244335 15.548 11.9
240125 254.345963 -1.89051 None None None 16572303-0153258 None 7.15987500597e-05 0.035361 148.699362011 3.56878468826 15.916 12.667
242116 254.422546 -1.754364 None None None 16574141-0145157 None 0.000176606884245 0.038432 161.981964716 3.88756715319 15.674 12.096
242117 254.441452 -1.802974 None None None 16574594-0148107 None 0.000109936618771 0.041542 175.49239413 4.21181745913 15.727 12.704
242118 254.469238 -1.800473 None None None 16575261-0148017 None 2.61924291477e-05 0.04264 180.276493536 4.32663584487 17.055 13.952
242119 254.460342 -1.756862 None None None 16575048-0145247 None 2.53258252137e-05 0.042218 178.436921668 4.28248612003 17.184 13.941
254709 254.27179 -1.850627 None None None 16570522-0151022 None 2.46083587552e-05 0.033274 139.705946447 3.35294271474 16.387 13.185
327441 254.346 -1.89041 None None 1107232 None None 1.30167086198e-05 0.0336434868217 141.296197875 3.39110874901 17.21 nan
327478 254.296 -1.82013 None None 1109171 None None 1.93419912834e-05 0.0336434868217 141.296197875 3.39110874901 16.78 nan
327497 254.435 -1.79926 None None 1109773 None None 1.30691072789e-05 0.0307509453755 128.869450221 3.09286680531 16.06 nan
327499 254.349 -1.79717 None None 1109807 None None 2.54977103464e-05 0.0336434868217 141.296197875 3.39110874901 16.48 nan
327501 254.399 -1.79606 None None 1109835 None None 2.14867164658e-05 0.0327488863744 137.447339028 3.29873613667 16.34 nan
327524 254.423 -1.75416 None None 1110982 None None 1.86423725736e-05 0.0336434868217 141.296197875 3.39110874901 16.82 nan
429213 254.514236 -1.802071 None None None 16580341-0148074 None 1.55418731208e-08 0.058744 251.287295515 6.03089509235 17.115 13.745
1044986 254.403931 -1.833809 None None None 16573694-0150017 None 1.85281162046e-17 0.078553 340.774198438 8.17858076252 16.669 13.704
38853 254.193695 -1.962022 None None 1105380 16564648-0157432 None 5.90174269357e-05 0.045599 193.205909007 4.63694181617 15.368 11.812
1083842 254.131714 -1.865736 None None None 16563161-0151566 None 0.0 0.171656 791.516107976 18.9963865914 18.278 13.879
1083857 254.191742 -1.934522 None None None 16564601-0156042 None 0.0 0.142091 643.160917168 15.435862012 17.616 13.251
395084 254.056 -2.15971 None None 6dFJ1656135-020935 None None 6.06030077208e-06 0.032602096301 136.816273985 3.28359057563 17.66 nan
242120 254.445084 -2.100752 None None None 16574682-0206027 None 7.59458784028e-08 0.021103 87.7967808693 2.10712274086 15.834 12.397
254710 254.234009 -2.162575 None None None 16565616-0209452 None 8.91501588652e-05 0.042654 180.337540686 4.32810097647 15.627 12.408
327313 254.234 -2.16261 None None 1100026 None None 6.61197494223e-06 0.0307509453755 128.869450221 3.09286680531 16.85 nan
