# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae25248.i.ut190603.4075_stch_1.sw.dcmp, DB ID=5187, Field
#       Name=s005aae25248, RA (deg)=254.5974, Dec (deg)=-2.0233, MJD=58638.10343, Exp
#       Time (sec)=360.0, Lim Mag=22.6208, Instrument=SWOPE, E(B-V)=0.414386570156,
#     Filter=SDSS i, A_lambda=0.703628396124888, Net 2D Prob=0.0001584705350924, Redistributed
#       2D Prob=7.36486595199161e-05, Net 4D Prob=0.0017812517358934622, Weighted Mean
#       Pixel Comp=0.5340213729041462, Weighted Mean Pixel Dist=161.15604504060082]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
11173 254.434494 -1.799086 None None None 16574427-0147567 None 0.000281475718525 0.03685 155.132283118 3.72317479482 14.843 10.809
19554 254.398376 -1.796031 None None None 16573561-0147457 None 0.000219897291396 0.040376 170.420107356 4.09008257654 15.179 11.248
22399 254.349258 -1.797175 None None None 16572382-0147498 None 1.85430053233e-05 0.029817 124.868173139 2.99683615533 15.252 11.354
122538 254.286987 -1.707471 None None 1112190 16570887-0142268 None 1.49607373644e-05 0.047787 202.800818851 4.86721965241 16.079 12.45
240124 254.295624 -1.820246 None None None 16571094-0149128 None 0.000191047977794 0.038798 163.568851806 3.92565244335 15.548 11.9
240125 254.345963 -1.89051 None None None 16572303-0153258 None 7.15987500597e-05 0.035361 148.699362011 3.56878468826 15.916 12.667
242116 254.422546 -1.754364 None None None 16574141-0145157 None 0.000176606884245 0.038432 161.981964716 3.88756715319 15.674 12.096
242117 254.441452 -1.802974 None None None 16574594-0148107 None 0.000109936618771 0.041542 175.49239413 4.21181745913 15.727 12.704
242118 254.469238 -1.800473 None None None 16575261-0148017 None 2.61924291477e-05 0.04264 180.276493536 4.32663584487 17.055 13.952
242119 254.460342 -1.756862 None None None 16575048-0145247 None 2.53258252137e-05 0.042218 178.436921668 4.28248612003 17.184 13.941
254709 254.27179 -1.850627 None None None 16570522-0151022 None 2.46083587552e-05 0.033274 139.705946447 3.35294271474 16.387 13.185
327441 254.346 -1.89041 None None 1107232 None None 1.30167086198e-05 0.0336434868217 141.296197875 3.39110874901 17.21 nan
327478 254.296 -1.82013 None None 1109171 None None 1.93419912834e-05 0.0336434868217 141.296197875 3.39110874901 16.78 nan
327497 254.435 -1.79926 None None 1109773 None None 1.30691072789e-05 0.0307509453755 128.869450221 3.09286680531 16.06 nan
327499 254.349 -1.79717 None None 1109807 None None 2.54977103464e-05 0.0336434868217 141.296197875 3.39110874901 16.48 nan
327501 254.399 -1.79606 None None 1109835 None None 2.14867164658e-05 0.0327488863744 137.447339028 3.29873613667 16.34 nan
327524 254.423 -1.75416 None None 1110982 None None 1.86423725736e-05 0.0336434868217 141.296197875 3.39110874901 16.82 nan
429213 254.514236 -1.802071 None None None 16580341-0148074 None 1.55418731208e-08 0.058744 251.287295515 6.03089509235 17.115 13.745
1044986 254.403931 -1.833809 None None None 16573694-0150017 None 1.85281162046e-17 0.078553 340.774198438 8.17858076252 16.669 13.704
22978 254.729 -1.83507 None None 1108766 None None 1.88746776976e-05 0.0320212360106 134.320406884 3.22368976521 16.18 nan
31619 254.68338 -1.66661 None None None 16584401-0139597 None 1.28036654807e-05 0.028967 121.231249197 2.90954998074 15.231 11.648
240310 254.728973 -1.834937 None None None 16585495-0150057 None 1.54170918247e-06 0.024704 103.058828028 2.47341187267 15.08 11.376
327472 254.598 -1.83851 None None 1108643 None None 4.95407457935e-06 0.0307509453755 128.869450221 3.09286680531 17.1 nan
