# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae3241.i.ut190429.5130_stch_1.sw.dcmp, DB ID=5221, Field
#       Name=s005aae3241, RA (deg)=236.541, Dec (deg)=30.2805, MJD=58603.2802, Exp Time
#       (sec)=180.0, Lim Mag=21.922, Instrument=SWOPE, E(B-V)=0.0577566031739, Filter=SDSS
#       i, A_lambda=0.0980707121892822, Net 2D Prob=7.10000544723e-05, Redistributed
#       2D Prob=2.870679243368009e-05, Net 4D Prob=0.0001635202836037805, Weighted Mean
#       Pixel Comp=0.5956089501648016, Weighted Mean Pixel Dist=182.46941683271223]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
253343 236.755707 30.533293 None None None 15470136+3031598 None 3.93774381426e-05 0.050515 214.804604501 5.15531050802 15.915 12.839
344321 236.756 30.53314 None None 3089084 None None 1.57244889816e-06 0.0582013191007 248.868760707 5.97285025697 17.18 nan
377728 236.756 30.53149 None None SDSSJ154701.35+303153.5 None None 1.69794868104e-06 0.0584589892295 250.016883221 6.0004051973 17.0 nan
810886 236.601135 30.620968 None None 1911027 15462427+3037154 None 4.33709663234e-09 0.071134 306.985434613 7.3676504307 16.889 12.955
1236604 236.577 30.63763 None None 1911684 None None 1.76248056675e-19 0.0966069783035 424.348118482 10.1843548436 18.35 nan
2336306 236.483 30.52283 None None SDSSJ154555.83+303122.2 None None 1.33147796665e-16 0.090541965271 396.060601934 9.50545444643 18.37 nan
62263 236.450241 30.202436 None None 55981 15454805+3012087 None 1.02298340611e-05 0.031153 130.593628581 3.13424708595 15.194 12.635
638161 236.812851 30.234426 None None 1895612 15471508+3014039 None 0.0 0.178477829239 826.411623347 19.8338789603 18.6 14.326
638218 236.761383 30.272186 None None 1897206 15470273+3016198 None 2.88702426266e-18 0.094563 414.791095933 9.95498630239 18.233 13.701
1138482 236.813477 30.381371 None None SDSSJ154715.19+302252.4 15471523+3022529 None 0.0 0.195452557726 914.300451826 21.9432108438 19.341 14.177
1236274 236.782 30.38599 None None 1901702 None None 0.0 0.131996825998 593.599249797 14.2463819951 18.61 nan
2320479 236.757 30.44635 None None SDSSJ154701.59+302646.7 None None 1.35616101315e-13 0.0830151415076 361.252742845 8.67006582828 18.84 nan
2320508 236.857 30.25321 None None SDSSJ154725.61+301511.5 None None 2.36818244327e-16 0.0897611848806 392.434514905 9.41842835771 18.93 nan
25801 236.602417 30.26708 None None 55997 15462458+3016014 None 1.89943953511e-06 0.027449 114.747305061 2.75393532145 15.43 11.398
76124 236.625854 30.312925 None None 3089083 15463020+3018465 None 7.87923774478e-05 0.041629 175.871192495 4.22090861987 16.22 12.711
302835 236.596 30.24659 None None 1896132 None None 1.23966332341e-06 0.0307509453755 128.869450221 3.09286680531 17.39 nan
638080 236.501999 30.17857 None None 1893388 15460047+3010428 None 8.45690290148e-20 0.097444038722 428.26892706 10.2784542494 18.52 14.248
855921 236.595673 30.247074 None None None 15462296+3014494 None 3.84709614755e-12 0.081301 353.372023236 8.48092855766 17.031 13.401
2320410 236.557 30.12979 None None SDSSJ154613.66+300747.2 None None 6.90100756749e-20 0.0978652989326 430.243648447 10.3258475627 18.26 nan
2320427 236.606 30.28463 None None SDSSJ154625.35+301704.5 None None 1.16264603995e-15 0.0886017743009 387.056547038 9.28935712891 18.62 nan
